49:6:001:1	Tr'iinin ts'ą' Ch'iyehghan Haa Deegihee'yaa Goo'aii
49:6:001:0	Tr'iinin nąįį , K'eegwaadhat vaa kheihłak ǫhłįį geh'an , nakhwayehghan k'eegohthat . Jii jyaa dakhwa'in t'ee łyaa gwinzii t'akhwa'in t'akhwa'in .
49:6:002-003:0	Dęhtły'aa Choh zhit jyaa digwinyąą “ Nakhwati' ts'ą' nakhwahan haa yinjiihooh'ee ! Jyaa dakhwa'in ji' , nakhwadiveegweheezyaa ts'ą' dzaa nankat niighyuk goohǫhdaii t'oonchy'aa . ” Jii nats'ąą gwireheendaii gwinyąą ts'ą' gwadanakhwatł'oo t'ee Vit'eegwijyąhchy'aa tr'ookit deehee'yaa nyąą ąįį gwik'it t'ihee'yaa t'inchy'aa .
49:6:002:1	Nats'ąą Slaves , ts'ą' Juu Goots'ą' K'eedeegwaadhat Haa Deegihee'yaa Goo'aii
49:6:004:0	Ch'iti' nąįį nakhwagii nąįį zhyaa k'įį gohtsyaa shrǫ' . Gaa nats'ahts'ą' K'eegwaadhat deegoo'ya' goovoonyąą gwik'it t'agoovohnyąą ts'ą' geegoovohtan .
49:6:005:0	Slaves nąįį dzaa nankat dinjii nakhwats'ą' k'eedeegwaadhat nąįį k'eegohthat , nakhwadrii datthak haa gavoonjat ts'ą' gaveenjihoh'ee , Christ deenyąą vik'eegohthat k'it gook'eegohthat .
49:6:006:0	Nakhwagąąh'in dąį' gwizhrįh gook'eegahohthat kwaa gaa nakhwadrii zhit datthak gwats'an khit gook'eegohthat , Christ va-slaves ǫhłįį geh'an Vit'eegwijyąhchy'aa jyaa dakhwa'ya' nakhwahnyąą .
49:6:007:0	Dinjii nąįį eenjit gwitr'it t'agoh'in kwaa , gaa shoo haa K'eegwaadhat veenjit gwitr'it t'agoh'in k'it t'akhwa'in .
49:6:008:0	Jii ganoondaii , dinjii slaves tr'iinlii akwat dinjii slaves tr'iinlii kwaa , nihk'it gwinzii t'igwii'in ji' K'eegwaadhat geenjit diigwahookwat t'oonchy'aa .
49:6:003:1	Vit'eegwijyąhchy'aa Jidii Vaaniveet'arah'in Datthak Diinantł'eiinlii
49:6:009:0	Slaves nąįį ts'ą' k'eedeegwaadhat nąįį nakhwatsyaa gwinzii k'ǫǫhtii . Googwahohshii dohnyą' shrǫ' , nakhwan ts'ą' nakhwa-slaves nąįį haa zheekat gwats'an ch'ihłak nakhwats'ą' k'eedeegwaadhat t'oonchy'aa , ąįįts'ą' dinjii nąįį datthak nihk'it eneehahdak t'inchy'aa .
49:6:010:0	Jii t'ee khaiinkǫǫ nakhwats'ą' shiginjik t'inchy'aa . Khoht'aii geenjit K'eegwaadhat vats'an t'aih ǫhjii , łyaa vat'aii nint'aii t'inchy'aa .
49:6:011:0	Vit'eegwijyąhchy'aa jidii vaa niveet'ahoh'yaa geenjit nakhwantł'eegwin'ąįį kwaii datthak teegohtą' . Nijin Ch'anky'aa Tr'aanduu nakhwak'eegwandaii ji' gaiiyiinakhwahtsyaa kwaa ts'ą' vats'ą' niveet'ahoh'yaa geenjit .
49:6:012:0	Dinjii nąįį haa niveet'arah'in t'igwii'in kwaa , gaa ch'anky'aa tr'aanduu ts'ą' gookhaihkwaii nąįį ts'ą' nich'itsarahthat t'igwii'in , ąįį nąįį t'ee juk gweendaa jii nankat gwats'ą' k'eedeegwaadhat ts'ą' zhee zhit gwats'an tr'aanduu iizųų nąįį chan ts'ą' niveet'arah'in t'igwii'in .
49:6:013:0	Jyąhts'ą' geh'an Vit'eegwijyąhchy'aa jidii vaa niveet'ahoh'yaa nakhwantł'eegwiin'ąįį kwaii datthak ǫhjii . Nijin ch'anky'aa tr'aanduu nakhwak'eegwandaii ji' duuyeh vits'į' oogal geenjit . Ndaagwąąn'ąį' gwats'ą' datthak niveet'oh'in akhagahohjyaa kwaa geenjit .
