19:75:001:1	Psalm . lxxv .
19:75:002:1	Confitebimur cibi .
19:75:001:0	TI y glodvorwn , â Ddew , [ ti] a glodvorwn , canys dy Enw [ ys y] gyfagos : [ am hyny] y menagant dy ryveddodae .
19:75:002:0	Pan gymerwyf amser-aðas barnaf yn vnion .
19:75:003:0	Datodwyt y ddaiar a’ei oll drigiolion : [ a’] mi a ffyrfáf hei cholofnae . Selah .
19:75:004:0	Dywedais wrth yr ynvydion , Na vyddwch mor ynvyt , ac wrth yr andewolion , Na dderchevwch [ eich] corn .
19:75:005:0	Na ðerchefwch eich corn yn vchel , ac na phareblwch yn war-syth .
19:75:006:0	Can ys nyd o’r Dwyrein , nac o’r Gorllewin , na’c o’r Deeu y daw codiat .
19:75:007:0	Can ys Dew yw’r barnwr : efe a estwng vn ac a gyfyd arall .
19:75:008:0	Can ys yn llaw’r Arglwydd y mae phiol , a’r gwin yn=goch : y mae yn llawn cymysc , ac ef a dywallt o hanaw : ys oll andewiolion y ddaiar y wascant ac a yvant hei gwaelodion .
19:75:009:0	A’ mineu a venagaf yn dragyvyth , ac a gan-molaf Ddew Iaco .
19:75:010:0	A’ holl gyrn yr andewolion a ddrylliaf : a’ chyrn y cyfion y dderchefir .
