19:24:001:1	Psalm . xxiiij .
19:24:002:1	¶ Domini est terra .
19:24:001:0	Yr Arglwydd [ biae] yr ddaiar , a’ ei oll gyflawnder : y byd a’r ei y breswyl ynthaw .
19:24:002:0	Can ys ef ei seiliawdd ar ymoroedd , ac ei paratoawdd ar y llifddyfredd .
19:24:003:0	Pwy y escen ar vynyth yr Arglwydd ? a’ phwy a saif yn ei le sanctaidd ?
19:24:004:0	[ Yr hwn ys y yddo] ddwylo diargyoedd a’ chalon bur : yr hwn ny ðerchavawdd ei veddwl ar wageð , ac ny thyngawdd er twyllo .
19:24:005:0	[ Efe] a dderbyn vendith y gan yr Arglwydd , a’ chyfiawnder gan Ddew ei iechyt .
19:24:006:0	Hon yw cenedlaeth yr ein ei caisiant ef : ys yr ei a geisiant dy wynep [ ll’yma] Iaco . Sélah .
19:24:007:0	Darchefwch byrth eich pennae , ac ymdderchefwch ddorae tragywyddolion , a’ Brenhin y gogoniant a ddaw y mywn .
19:24:008:0	Pwy yw’r Brenhin hwn y gogoniant ? yr Arglwydd cadarn a’ galluawc , [ ys] yr Arglwydd galluawc yn ryvel .
19:24:009:0	Darchefwch byrth eich pennae , ac [ ym] ddarchefwch ddorae tragywyddolion , a’ Brenhin y gogoniant a ðaw y mewn .
19:24:010:0	Pwy yw’r Brenhin hwn y gogoniant ? yr Arglwydd y lluoedd , ef e yw Brenhin y gogoniant . Sélah .
