19:44:001:1	Psalm . xliiij .
19:44:002:1	¶ Deus auribus nostris .
19:44:001:0	DEw , [ ys] clywsam a ein clustiae : ein tadae a venagent y-ni y gwaithredoedd [ y] wneythost gynt yn y dyddiae hwy , yn y cynvyt .
19:44:002:0	Val y gyrresti ymaith y cenedloedd , ath law , ac y plenneist hwy : [ val] y destrywieist y populoed , ac y gwneuthost yddynt tyfu .
19:44:003:0	Can na chawsant etiveddiaeth y tir wrth ei cleddyf ehunain , ac nid ei braich ehunain , eu gwaredawdd : eithr dy ddeheulaw di ath vraich a llewych dy wynepryd , can yty y hoffy hwy .
19:44:004:0	Ti yw vy-Brenin , [ â] Ddew , ’anfon gymporth i Iaco .
19:44:005:0	Trywo ti y cilgwthiesam ein gelynion : ac yn dy Enw [ di] y sathrwn yr ei a gyfotant in erbyn .
19:44:006:0	Can ys nad ymddiriedaf yn vy-bwa , ac nid vy-cleddyf a’m gwared .
19:44:007:0	Canys ti a’n gwaredaist rac ein gwrthnebwyr , ac a ’wradwyddeist ein dygaseion .
19:44:008:0	Am hyny y molwn Ddew bob amser , ac y coffesswn dy Enw yn tragyvyth . Sélah .
19:44:009:0	Eithyr [ yr owrhon] ydd ymbelléi , ac in gwradwyddy , ac nid ai allan y gyd a’n lluoedd .
19:44:010:0	Ydd wyt yn peri yni ddychwelyd drach ein cefn ywrth ein erbyniwr , a’n dygaseion , a gribdeilian yddynt y vnain .
19:44:011:0	Ydd wyt yn ein rhoi val deueit i’n bwyta , ac in goyscaru ym-plith y cenedloedd .
19:44:012:0	Ydd wyt yn gwerthu dy popul eb ’olud , ac nyd wyt yn augwanegu eu gwerth .
19:44:013:0	Ydd wyt yn ein gwneuthur yn warth y ein cymydogion , yn watworgerdd ac y chwerthin am ein pen gan yr ei ys ydd o’n amgylch .
19:44:014:0	Idd wyt yn ein gwneuthur yn ddiereb ym-plith y cenedloeð , [ ac yn ðefnyð] yscwyt penn ym-plith y populoeð .
19:44:015:0	Peunydd y mae vy-gwradwydd rac vy-bron , a’ chywilydd vy wynep am toawdd .
19:44:016:0	Can lef yr enllybiwr a’r sennwr , gan y gelyn a’r dialwr .
19:44:017:0	Hyn oll a ddaeth arnam , eto nid ym ith ellwng yn angof , ac ny vuam ffugiol ith ddygymbot .
19:44:018:0	Nyd ymchwelawð ein calon drach i chefn : ac nydaeth ein olion y ar dy lwybrae .
19:44:019:0	Er yty ein bayddu y lawr y gyfle y dreiciae , a’n toi a gwascawt angae .
19:44:020:0	A’s angofiesam Enw ein Dew , a’ chyfody ein dwylaw a’r Ddew estran , any chwilia Dew am hyn ? can ys ef a edwyn gyfrinachoedd y galon .
19:44:021:0	Ys er dy vwyn di in lleddir bob dydd , ac in cyfrifir val deueit [ y’w] lladd .
19:44:022:0	Cyvot , paam y cuscy , Arglwydd ? diffro , nac ymbellá yn tragywydd .
19:44:023:0	Paam y cuðy dy wynep : ac yr ancofy ein trueni a’n gorthrymder ?
19:44:024:0	Can ys ein enait y ostyngwyt i’r llwch , ein boly a ’lyn wrth y llawr .
19:44:025:0	Cyfod y vyny yn borth y-ni , a’ phryn ni er dy drugaredd .
