19:55:001:1	Psalm . lv .
19:55:002:1	Exaudi Deus .
19:55:001:0	CLustymwrando am gweddi â Ddew , ac nac ymgudd rac vy glochwyt .
19:55:002:0	Gwrando arnaf , ac erglyw vi : cwynvan ydd wyf yn vy-gweddi , a’ nadu .
19:55:003:0	Gan lais y gelyn , [ a’] chan wascfa yr andewiol , can yddynt ddwyn enwiredd arnaf , ac yn gynddairioc vy-casa’u .
19:55:004:0	Vy-calon a dd’echryn om mewn , ac arfwyddion angae a syrthiesant arnaf .
19:55:005:0	Ofn ac echryd a ddaethant arnaf , a chrynfa orribil am gorchudiawd .
19:55:006:0	A’ dywedeis , Och na bai ymy adanedd val i golomben : yno ydd ehedwn ymaith ac y gorphwyswn .
19:55:007:0	Wele , [ yno] y ciliwn yn y pell , [ ac] y trigwn yn y diffeith . Sélah .
19:55:008:0	Brysiwn y ymwared rac y gwynt ystormus a’r tempestl .
19:55:009:0	Dinystria Arglwydd , [ a’] gohan eu tavot : can ys gwelais graulonedd , a chynnen yn y dinas .
19:55:010:0	Dydd a’ nos yð amgylchynant hi o vewn hei magwyrydd : ys andewoldop ac echrys [ ys ydd] yn ei phervedd .
19:55:011:0	Enwiredd [ ys ydd] yn ei phervedd : twyll a’ dichell nid ant ymaith ohei heolydd .
19:55:012:0	Diau nid [ vy-]gelyn a’m divenwodd , can ys galleswn [ ei] ddwyn : ac nid vy-digasoc a ymvawrygawdd im erbyn , o bleit ymguddieswn rhacdaw .
19:55:013:0	Eithr ti ’wr [ oedd ef] ys vy-cyfaill , vy fforddiwr , am cynabot .
19:55:014:0	Yr ei oedd ddigrif genym gyd gyfrinachu , [ ac] aem y tuy Ddew yn-cymddeithas .
19:55:015:0	Deuet angae arnaðynt : descenant [ yn] vyw ir beð : can ys drygeu [ ys ydd] yn ei cartref , [ ys ef] yn ei perveð .
19:55:016:0	Minef a waeðaf ar Ddew , a’r Arglwyð am goarchad .
19:55:017:0	Gosper a’ borae a’ haner dydd y gweddiaf , ac y cyffroaf , ac ef a glyw vy lleferydd .
19:55:018:0	Ef a waredawdd vy eneit yn heddychol y wrth y vrwydyr [ y oedd] im erbyn : can ys llawer oedd y gyda mi .
19:55:019:0	Dew a glyw , ac ei cystuð [ hwy] ys ef yr hwn ys ydd yn teyrnasu o’r cynvyt . Sélah : can nad oes yddynt ysmutiadeu , am hynny nyd ofnant Ddew .
19:55:020:0	Eddodes ei law ar yr ei oedd mewn tangneddyf ac ef , [ ac] a dores ei ddygymbot .
19:55:021:0	Llyfnach oedd ymadrodd ei eneu na’r emenyn , ac a rhyvel yn ei galon : ei ’airiae oedd denerach na ’r oleo , ac wyntwy yn gleddyfae .
19:55:022:0	Bwrw dy vaich ar yr Arglwydd , ac ef ath gynnal : ny ’ad ef ir cyfion syrthio yn tragyvyth .
19:55:023:0	Tithe Ddew , y descenny wynt yr pytew llwgr : y gwyr gwaetlyt a’ thwyllodrus ny chan vyw haner ei dyddiae , a’ minef a ymddiriedaf ynoti .
