19:22:001:1	Pslam . xxij .
19:22:002:1	Deus Deus meus .
19:22:001:0	VY-Dew , vy-Dew , paam im gedeist [ ac] wyt cy bellet y wrth vy iechyt , [ ac ywrth]’ airiae vy llefain .
19:22:002:0	[ A] vy-Dew [ ys] llefaf y dydd , ac nid ateby , a’r nos , nyd oes goystec ymy .
19:22:003:0	A’thi wyt Sanct , ac wyt yn cyvanneddu canmolion Israel .
19:22:004:0	Ynot’ y gobeithiawdd ein tadae : gobeithesont , ac eu gwaredeist .
19:22:005:0	Arnat’ y llefent , ac eu gwaredwyt : ymddiriedesont ynot’ ac ny’s gwradwyddwyt .
19:22:006:0	Aminef pryf ytwyf , ac nid dyn : gwarthrudd dynion , a’ thremic y popul .
19:22:007:0	Pawp a’r am gwelant , am gwatworant : mingamu a wnant , ac yscytwyt [ ei] pennae , [ gan ddywedyt . ]
19:22:008:0	Roi ei bwys y mae ar yr Arglwydd , gwaredet ef : rhyddhaet ef , can y vot ef yn dda ganthaw .
19:22:009:0	Can ys ti am tynnaist o’r bru : gwnaethost ymy obeithio , [ ys] ar vronneu vy mam .
19:22:010:0	Arnati im tavlwyt [ ys] o’r bru : o groth vy mam vy=Dew ytwyt .
19:22:011:0	Nac ymbellá y wrthyf , erwydd bot trwbl yn agos : can nad [ oes] gannorthwywr .
19:22:012:0	Bustych lawer am cylchynesont : gwrdd deirw Bashā am goarchaeasont o bop parth .
19:22:013:0	Agori y maent arnafei geneueu , [ mal] lleo rreipus a vei yn rhuo .
19:22:014:0	Mal dwfyr im dinêir , a’m oll escyrn ymoahanant : vy-calon ys y mal cwyr , hi doddir ym pervedd vy emyscaroedd .
19:22:015:0	Vy nerth y wywodd val priddell , a’m tavawd y lynawð wrth vy gorchvanae , ac yn llwch angae im peraist .
19:22:016:0	Can ys cwn am cylchynesont , a’ chynulleidfa o’r ei enwir am goarchauesant : tyllesont vy-dwylaw a’m traet ,
19:22:017:0	Gallaf gyfri vy oll escyrn : ac y maent wy yn tremio , [ ac] yn edrych arnaf .
19:22:018:0	Ranna=nt vy-dillat yn ei plith , ac ar vy=gwisc y bwriant goelbren .
19:22:019:0	A’ thithe Arglwydd , nac ymbellá , [ ys] vy porth , brysia im canorthwyaw .
19:22:020:0	Gwared vy eneit rac y cleddyf , vy vnic [ enait] rac meddiant y ci .
19:22:021:0	Cadw vi rac safn y lleo , ac atep vi [ gan vynghadw] y wrth yr vnicornieit .
19:22:022:0	Datcanaf dy Enw i’m broder : ym=pervedd y Gynnulleidfa ith volaf , [ gan ddywedyt . ]
19:22:023:0	Molwch yr Arglwydd yr ei ’ei h’ofnwch : oll had Iaco , gogoneddwch ef , ac ofnwch gantho , oll had Israel .
19:22:024:0	Can na ddiystyrawdd ac ny thremygawdd goddiant y tlawt , ac ny chuddiawdd ei wynep rracðaw : anid pan alwadd arno , y gwrandawodd .
19:22:025:0	Vy=mawl [ vydd] o hanat’ yn y Gynnylleidfa vawr : vy eddunedae a dalaf ger bron yr ei y ofnant ef .
19:22:026:0	Y tlodion y vwytánt ac ei digonir : yr ei ymgeis a’r Arglwyð , ei molāt ef : eich calō a vywoca yn tragywyth .
19:22:027:0	Oll tervynae yr ddaiar a [ ym]goffant , ac ei hymchwelant at yr Arglwydd : ac oll dylwytheu y cenedloedd y addolant ger dy vron .
19:22:028:0	Can ys yr Arglwydd [ biae] y deyrnas , [ ef] ys ydd yn llywiaw ym-plith y cenedloed .
19:22:029:0	Yr oll rei breision [ ar] y ddaiar , a vwytànt ac y addolant : yr oll rei y ddescenont yn llwch , y estyngant ger ei vron , ys yr hwn ny all vywhau ei enait ehun .
19:22:030:0	[ Eu] had y gwasanaetha ef : e gyfrifer i’r Arglwydd yn genedlaeth .
19:22:031:0	Wy ddauant ac a venagant y gyfiawnder ef i’r popul y aner , can yddo [ ei] wuenthur .
