19:109:001:1	Psalm . cix .
19:109:002:1	Deus laudem meam .
19:109:001:0	DEw vy moliant , na thaw-son .
19:109:002:0	Can ys genae yr andewiol , a’ genae y dwyll y agorwyt arnaf : dywedysont wrthyf’a thavot geuoc .
19:109:003:0	Cylchynesont vi hefyt a gairieu dygaseð , ac ymladdesont im erbyn yn ddiachos .
19:109:004:0	Am vy-cariadigrwydd , im gwrthwynebesont , a mi [ a ymrois] y weddiaw .
19:109:005:0	A’ [ hwy] a dalesont ymy ddrwc dros dda , a’ chas dros vy-caredigrwydd .
19:109:006:0	Gosot [ tithau] yr andewiol arnaw , a safet y gwrthnebwr ar ei ddeeulaw .
19:109:007:0	Pan varner ef elet yn euoc , a’ bit ei weddi yn bechat .
19:109:008:0	Bid ei ddyddiae ychydigion , a’ chymred arall ei lywodraeth .
19:109:009:0	Bit ei blant yn amdifait , a’ei wreic yn wedw [ o hanaw] .
19:109:010:0	Elet ei blant y grwydraw , a’ chribnowta , a’ chaisiaw ei [ bara , gan ddyvot allan] oi ’lleoedd destruwedic .
19:109:011:0	Ymavlet y ceisiat yn-cymeint ac y vedd ef , ac anreithiet dieithreit ei lavur .
19:109:012:0	Na bo neb a estenno yðo drugareð , ac na bo neb a drugará wrth ei amddiveit .
19:109:013:0	Destrywier ei ’ohelyth , ac yn y genedlaeth ar ol diléer y enw hwy .
19:109:014:0	Coffaer enwireð ei dadae wrth yr Arglwyð : a’phechat ei vam na ddiléer .
19:109:015:0	[ Eithr] byddant yn-gwydd yr Arglwydd yn oystat , val y toro ef ymaith o’r ddaiar ei coffa .
19:109:016:0	Can na chofiawdd ef wneuthur trugaredd , eithyr erlyd y gwr tlawt a’ rhaidus , a’r cystuddedic o galon y’w liasu .
19:109:017:0	Mal y carawdd ef velltith , velly y daw yddaw , [ ac] mal na hoffawdd vendith , velly yr ymbellá ywrthaw .
19:109:018:0	Megis yr ymwiscawdd a melltith mal a dillat , velly hi daw yw ymyscaroedd ef mal dwfr , ac mal oleo y’w escyrn .
19:109:019:0	Bid yddaw mal yn wisc yw amdoi , ac yn wregis y ymwregysy bop amser .
19:109:020:0	Poet hyn vo cyfloc , vy-gwrthnebwyr y gan yr Arglwydd , a’r ei y ddywedant ðrwc am vy eneit .
19:109:021:0	Tithau Arglwydd vy-Dew , gwna a mi yn ol dy Enw : ymwared vi , ( can ys da yw dy drugaredd )
19:109:022:0	Can ys tlawt ac angenawc ytwyf , a’m calon a archollwyt ynof .
19:109:023:0	Myn’d ymaith ydd wyf val gwascawt yn ciliaw , ac im escutir mal y ceilioc-rhedyn .
19:109:024:0	Vy-gliniae ys ydd egwan gan vmpryd , a’m cnawt y wywawdd eisieu braster .
19:109:025:0	A’ mi aethym yn warth yddwynt : yr ei edrychent arnaf , y yscytwent ei pennae .
19:109:026:0	Cymporth vi , Arglwydd vy-Dew : iachá vi wrth dy drugaredd .
19:109:027:0	A’ hwynt a wybyddant , may hyn yw dy law , [ a’c mae] ti , Arglwydd , ei gwneddyw .
19:109:028:0	[ Cyd] melltithient wy , tithau a vendithi : wy a godant ac awradwyddir , ath was di a vydd llawen .
19:109:029:0	Gwiscer vy-gwrthnebwyr a gwarthruð , ac ymdoant a ei gwradwydd megis a chochl .
19:109:030:0	Mi a ddiolchaf a’i Arglwydd yn ddirvawr am genae , ac ymplith llaweredd ei molaf .
19:109:031:0	Can ys ef a saif ar ddeeulaw y tlawt , y’w gadw rac yr ei a varnent ei enait yn euawc .
