19:31:001:1	Psalm . xxxj .
19:31:002:1	In te Domine speraui .
19:31:001:0	YNot’ Arglwydd yr ymddiriedeis : na’m gwradwydder yn tragywyth : gwared vyvy ith gyfiawnder .
19:31:002:0	Gogwydda dy glust ataf : brysia i’m gwaredu , bydd y=my graic cadarn , [ ac] yn duy amddeffen y’m cadw .
19:31:003:0	Can ys vy=craic a’m castell ytwyt : am hyny er mwyn dy Enw tywys vi ac arwein vi .
19:31:004:0	Dwc vi allan o rhwyt , y osodesont yn ðirgel y=my : can ys ti yw vy nerth .
19:31:005:0	Yn dy ddwylo y cymmennaf vy yspryt : [ can ys] prynaist vi , Arglwydd Ddew ’r gwirionedd .
19:31:006:0	[ Ys] cas genyf yr ei ys y aei goglyt ar goelion gweicion : can ys mi a ymddiriedaf yn yr Arglwydd .
19:31:007:0	Ys llawen a’ hyfrydd vyddaf yn dy drugaredd : can ys gwelaist vy=advyt , adnabuost vy eneit mewn cyfingdereu .
19:31:008:0	Ac ny ’oarchéist vi yn llaw y gelyn , [ eithr] gosodeist vy=traet mewn ehengder .
19:31:009:0	Trugará wrthyf , Arglwydd , can vy=bot mewn trwbl : vy=llygat , vy eneit a’m boly a ddyvwynwyt gan gystuð
19:31:010:0	Can ys vy=bywyt a ballawdd gan drymder , a’m blynyddedd o ’alar : vy nerth ys y yn pallu gan vy poen , am escyrn a lygresont .
19:31:011:0	Ydd oeddwn yn ddirmic y gan vy oll ’elynion , yn enwedic ym-plith vy=cymydogion , ac yn ofn ir ei om cydnabot , yr ei am gwelent ar yr heol a gilient y wrthyf .
19:31:012:0	Im gellyngwyt tros gofval y marw allan o veðwl : mi aethym val llestr ddyylliawc .
19:31:013:0	Can ys clyweis gabl llaweredd , ofn [ oedd] o pop=parth , pan ymgydgyccorent yn v’ erbyn , [ ac] yn bwriady vynnieneidiaw .
19:31:014:0	A’ mi a obeithwn yn-yti , Arglwydd : dywedeis , Vy=Dew ytwyt
19:31:015:0	Yn dy law y mae vy amsereu : gwared vi o ywrth law vy=gelynion , ac ywrth yr ei’n am erlydiant .
19:31:016:0	Llewycha dy wynep ar dy was , [ a’] chadw vi er dy drugaredd .
19:31:017:0	Arglwydd , na ’wradwydder vi : can ys gelweis arnat , gwradwyðer yr andewolion , [ a’] dystawer wy yn y beð .
19:31:018:0	Goysteger y gwefusae ffuciol , yr ei y ddywedant orthrymder , gan valchder a’ thremit yn erbyn y cyfiawn .
19:31:019:0	Mor vawr yw dy ddaoni , yr hwn y gedweist i’r sawl ath ofnant : [ ac] y ’wnaethost ir ei y ymddiriedant ynot’ , [ ’sef] geyr bron meibion dynion .
19:31:020:0	Ti ei cuddy hwy yn ddirgel yn dy ’wydd di rac balchder dynion : ti ei cuddiy wynt yn [ dy] pepyll rac cynnen tavodae .
19:31:021:0	Bendigedic [ vo’r] Arglwydd : can ys dangosawdd ei ryvedd garedigrwydd arnaf mewn dinas cadarn .
19:31:022:0	A’ mi ddywedwn yn vy ffrwst , Im bwriwyt allan oth ’olwc , er hyny ti ’wrandeweist vy=gweði , pan lefeis arnat’ .
19:31:023:0	Cerwch yr Arglwydd y oll saint ef : [ can ys] yr Arglwyð a geidw y ffyddlonion , ac a dal yn ehelaeth i’r nep y wna valchedd .
19:31:024:0	Yr ei oll ys y yn gobeithio yn yr Arglwydd , byddwch gedyrn , ac ef a nertha eich calon .
