19:103:001:1	Psalm . ciij .
19:103:002:1	Benedic anima mea .
19:103:001:0	VY enait , mola yr Arglwydd , ac oll ys ydd om mewn , [ molwch] ei Enw sanctaidd .
19:103:002:0	Vy eneit , mola yr Arglwydd , ac na ancofia ei oll ddonieu .
19:103:003:0	Yr hwn a vaddae dy oll enwiredd , ac a iachâ dy oll lescedd .
19:103:004:0	Yr hwn a ymwared dy vywyt o ðivancoll , ac ath corona a’ thrugaredd ac a thosturieu .
19:103:005:0	Yr hwn a weuydda dy enae a daoni : ac aadnewyðir dy ieunctit val [ vn] yr eryr .
19:103:006:0	Yr Arglwydd y wna gyfiawnder a’ barn , ir oll rei y ’orthrymir .
19:103:007:0	Parawdd-wybot ei ffyrdd i Voysen , [ a’] ei weithredoedd y blant Israel .
19:103:008:0	Yr Arglwydd ysy yn llawn tosturi a’ thrugaredd , hwyr ei lit , a’ mawr ei drugarogrwydd .
19:103:009:0	Nid ymddadle ef bop amser , ac ny ddail ef [ ’wc] yn dragyvyth .
19:103:010:0	Nid yn ol ein pechatae y gwnaeth ef y ni , ac nyd yn ol ein camweddeu y talawdd y-ni .
19:103:011:0	Can ys cyfuwch ac yw y nefoedd uchlaw y ddaiar , cymeint yw ei drugaredd ir sawl y ofnant ef .
19:103:012:0	Cy bellet ac yw’r Dwyrein o’r Gorllewyn , y pelláodd ef ein pechate o ddy wrthym .
19:103:013:0	Mal y tosturia y tad wrth ei blant , y tosturia yr Arglwydd wrth yr ei y hofnant ef .
19:103:014:0	Can ys ef a wyr o ba beth in gwnaethpwyt : cof yw ganthaw mae llwch ytym .
19:103:015:0	Dyn ys ydd ei ddyddie val gwelltglas : megis blodeun y maes y blodeua .
19:103:016:0	Can ys y gwynt a â drostaw , ac e ddarvu , a’ei le nid edwyn ddim hanaw mwy .
19:103:017:0	A’ thrugarawgrwydd yr Arglwydd [ vydd] yd oes oesoedd ar yr ei y ofnant ef : a’ ei gyfiawnder ar blant y plāt ,
19:103:018:0	[ Sef] i’r ei a gatwant y ddygymbot ef , ac a veddyliant am ei ’orchymynion er ei gwneuthur .
19:103:019:0	Yr Arglwydd a ddarparawdd ei eisteddva yn y nefoeð , a’ ei deyrnas ym-pop cyvoeth .
19:103:020:0	Molwch yr Arglwydd , y Angelion ef , cedyrn o nerth , ’r ei sy yn gwneuthur y orchymyn , ef gan wrando ar leferydd y ’air .
19:103:021:0	Molwch yr Arglwydd , ei oll luoedd , y weision ef yr ei wnewch ei ewyllys .
19:103:022:0	Molwch yr Arglwydd , y oll weithrededd ef , ’ym-pop ban oei gyvoeth : vy eneit mola yr Arglwydd .
