19:46:001:1	Psalm . xlvj .
19:46:002:1	¶ Deus noster refugium .
19:46:001:0	DEw yw’n gobaith [ a’n] porth , [ ac ef] ys ydd hawð ei gaffael yn-trollotion .
19:46:002:0	Am hyny ni bydd arnom ofn , cyd ymoter y ddaiar , a’ chyd ysmuter y mynyddedd y galon y mor .
19:46:003:0	[ Cyd] morgymladd ei ddwfredd [ a’] chynyrfu , [ ac] yscytwyt o’r mynyddedd y gan ei vordwy . Sélah .
19:46:004:0	[ Ac y mae] Avon a’i ffrydiae lawenhant Ddinas Dew , [ ’sef] Sancteiddfa pebyll y Goruchaf .
19:46:005:0	Dew [ ys id] yn ei ganol : ac [ am hyny] nid ymotir : Dew ei cymporth yn vorae iawn .
19:46:006:0	Pan gythruðodd y cenedloedd , [ ac] yr ymotwyt y teyrnasedd , y taranawdd , [ Dew] ac y toddes y ddaiar .
19:46:007:0	Arglwydd y lluoeð [ ys y] gyd a ni : Dew Iaco [ yw] ein noddet . Sélah .
19:46:008:0	Dewch [ ac] edrychwch ar weithrededd yr Arglwydd , pa ddiffeithieu a wrnaeth ef ar y ddaiar .
19:46:009:0	Ef a wna y rhyveloeð beidio yd tervyneu’r byt : ef ðryllia y bwa ac a dyr y ffonwaiw , [ ac] ef lysc y cerbyden a than .
19:46:010:0	Peidiwch a’ gwybyddwch mae myvi yw Dew : [ ys] im darchefir ymplith y ceneloedd , [ ac] im darchevir ar y ddaiar .
19:46:011:0	Arglwyð y lluoedd [ ys y] gyd a ni : Dew Iaco [ yw ein] noddet . Sélah .
