19:66:001:1	Psalm . lxvj .
19:66:002:1	¶ Iubilate Deo .
19:66:001:0	YMlawenhewch yn-Dew , oll [ breswylwyr] y ddaiar .
19:66:002:0	Cenwch ’ogoniant ei Enw : gwnewch ei voliant yn ’ogoneddus .
19:66:003:0	Dywedwch wrth Ddew , Mor derribl wyt [ yn] dy weithredoedd : gan liaws dy gedernit y darestyngir dy elynion yty .
19:66:004:0	Yr oll vyd ath anrydeða , ac a ganant yty , [ ’sef] y canant ith Enw . Sélah .
19:66:005:0	Dewch a ’gwelwch weithrededd Dew : terribl yw ef yn [ ei] waithret wrth plant dynion .
19:66:006:0	Ymchwelawdd ef y môr yn tir sych : trwy’r avon y treiddiant ar draet : yno y buam lawen ynthaw .
19:66:007:0	Ef a lywia y byt a ei gedernit : ei lygait y edrych ar y cenedloedd , yr anuvyddion nyd ymðerchavant . Sélah .
19:66:008:0	Molwch ein Dew chwychwy populoedd , a’ pherwch glywed llef ei voliant .
19:66:009:0	Yr hwn ys id yn cynnal ein eneidie ym-bywyt , ac ny ad ein traet i lithro .
19:66:010:0	Can ys ti Ddew an proveist , coetheist nyny mal y coethir [ yr] arian .
19:66:011:0	Dugeist nyni ir magyl , [ a’] dodeist [ rwym] cyfing ar ein llwyni .
19:66:012:0	Perfaist i ddynion varchogeth ar vcha ein penneu : aetham i’r tan ac i’r dwfyr , a’ thi an dugeist allā i [ le] diwal’
19:66:013:0	Af y mewn ith Tuy a phoeth-ebyrth , [ ac] a dalaf yty vy addunedae .
19:66:014:0	Yr ei addawodd vy-gwevuseu , ac y ddywedawdd vy-genae yn vy-cyvingder .
19:66:015:0	Offrymaf yty y poeth-ebyrth meherynot breision , a’ thus : darperaf vustych a’ geifr . Selah .
19:66:016:0	Dewch a’ gwrandewch yr ei oll ys y yn ofny Dew , a’ mynagaf ychwy pa wnaeth ef im eneit .
19:66:017:0	Galweis arno am gene , ac ef ðerchavwyt am tafawt .
19:66:018:0	A’s gwelsym enwiredd yn vy-calon , ny wrendy yr Arglwydd [ arnaf . ]
19:66:019:0	Eithyr Dew [ am] gwrandawodd , [ ac] ystyriawdd wrth leferydd vy-gweddi .
19:66:020:0	Mawledic [ vo] Dew , yr hwn ny wrthlaðawð vy-gweddi , na ei drugaredd y wrthyf .
