19:6:001:1	Psalm . vj .
19:6:002:1	¶ Domine ne in furore .
19:6:001:0	ARglwydd , na cherydda vi yn dy gynddareð , ac yn dy lit na chospa vi .
19:6:002:0	Trugará wrthyf , Arglwydd , can ys wyf wan : iachá vi , Arglwydd , can ys cystuddir vy escyrn .
19:6:003:0	Am eneit a drallodir yn ðirvawr : eithr ti arglwyð yd pa bryd [ yr oedi ?
19:6:004:0	Ymchwel , Arglwydd : gwared vy eneit : iachá vi er [ mwyn] dy drugaredd .
19:6:005:0	Can ys yn angae nyd [ oes] coffa o hanot : yn y bedd pwy ath vawl ?
19:6:006:0	Defficiais yn vy alar : ydd wyf yn gwneuthur vy-gwely bop nos yn voddva , [ ac] yn gwlchu vy-glwth am daigrae .
19:6:007:0	Mae vy llgat wedy tywyllu gan ddir-dra , ac wedy cauo o bleit vy oll’elynion .
19:6:008:0	Tynnwch ymaith ywrthyf ’weithredwyr enwiredd : can ys clywodd yr Arglwydd lais vy wylofain .
19:6:009:0	Erglywodd yr Arglwydd vy arch : yr Arglwydd a ðerbyn vy-gweddi .
19:6:010:0	Vy oll elynion a wradwyddir ac a drallodir yn ddirvawr : ei dadymchwelir , [ ac] ei cywylyddir yn ddiswmwth .
