19:25:001:1	Psalm . xxv .
19:25:002:1	¶ Ad te Domine .
19:25:001:0	ARna-ti , Arglwydd , y derchafa vy eneit .
19:25:002:0	Vy-Dew ynot’y ymddiriedaf , [ er vyn] na wradwydder vi , na bo im gelynion ymlawenychy ar vy vchaf .
19:25:003:0	[ Can] ys yr ei oll y obeithiant ynoti , ny chywylyddir , cywylyddier yr ei a wnant drawsedd yn ddiachos .
19:25:004:0	Par y mi wybot dy ffyrdd , Arglwydd , [ a’] dysc y my dy lwybrae .
19:25:005:0	Tywys vi yn dy ’wirionedd , a’ dysc vi : can ys ti yw Dew vy iechyt , ynot’ y gobeithaf yn hyd y dydd .
19:25:006:0	Coffa , Arglwydd , dy dyner drugareddae , ath garedigol=dosturiaetheu , can ys erioed yr oeddynt .
19:25:007:0	Na choffa bechatae vy ieuntit , na’m trowsedde , [ ethyr] yn ol dy drugaredd meddwl ti am danaf , [ sef] er dy ddaoni , Arglwydd .
19:25:008:0	Da ac vnion [ yw] yr Arglwydd : am hyny y dysc ef bechaturieit yn y ffordd .
19:25:009:0	Yr ei gwar y fforddia ef mewn barn , a’r ei gestyngedic y dysc ef ei ffordd yddwynt .
19:25:010:0	Oll llwybrae yr Arglwydd [ yw] trugaredd a’gwirionedd ir ei y gatwant ei ddygymbot a’ei destiolaetheu .
19:25:011:0	Er mwyn dy Enw , Arglwydd , arbed vy anwiredd , canys mawr ytyw .
19:25:012:0	Pa wr yw ef ’sy yn ofny yr Arglwydd ? i hwnw y dysc ef y ffordd [ y] ddywyso .
19:25:013:0	Ei eneit a dric yn esmwyth , a ei had a’etifedda y ðaiar .
19:25:014:0	Dirgelrwydd yr Arglwydd [ y ddatcuddir] ir ei y hofnāt ef : a’i ddygymbot yw dwyn y wybodaeth .
19:25:015:0	Vy llygait [ ys y] vyth ar yr Arglwydd : can ys ef a ddwc vy-traet o thwyt .
19:25:016:0	Wyneba aty vi , a’ thrugará wrthyf : canys-vnic , a’ thlawt ytwyf .
19:25:017:0	Gofidiae vy-galon y amylhawyt : dwc vi allan o’m cyfyngdere .
19:25:018:0	Edrych ar vy cystudd a’m llavur , a’ maddae vy oll pechotae .
19:25:019:0	Gwyl vy-gelynion , can-ys llawer ynt , ac a thraws ddygasedd im casánt .
19:25:020:0	Cadw vy eneit a’ gwared vi : na ’m gwradwyðer , can ys ymddiriedais ynot .
19:25:021:0	Cadwet vi [ vy] gwiriondep a’m vnionder : can ys gobeithiais ynot .
19:25:022:0	Gwared [ a’] dduw , Israel o ei drallodeu .
