19:73:001:1	Psalm . lxxiij .
19:73:002:1	Quam bonus Israél .
19:73:001:0	YS da yw Dew y Israel : ’sef ir ei glan o galon .
19:73:002:0	A’ minef , braidd na ’ogwyddoð vy-traet : bu vy-cerddediadeu wrth vron llithro .
19:73:003:0	Can ys gwynvydais wrth yr ynvydion , pan welais lwyddiant yr ei enwir .
19:73:004:0	Can nad oes rrwyme yn eu h’angae , anid bot yn gryfiō ac yn heini
19:73:005:0	Mewn lluddet dyn nid ytynt , ac gyd a dyn ny’s poenir hwy .
19:73:006:0	Am hyny balchder yw eu torch , a’ thrawseð y gwisc hwy val dillat .
19:73:007:0	Ei llygait gan vraster a saif allan : y mae yddynt vwy nac a veddwl calon .
19:73:008:0	Ymddatod y enwireð y wnant , a dywedyt anvad-’air am [ ei] trawster : wy ddywedant am y Goruchaf .
19:73:009:0	Gosodant ei genae yn erbyn y nefoeð , a’ ei tavot a gerdd rhyd y ddaiar .
19:73:010:0	Am hyny yr ymchwel ei bopul yma : can ys dwfr [ phiol] lawn y wescir yddynt .
19:73:011:0	Ac a ddywedant , Pa wedd y gwyr Dew ? ac a oes gwybyddiaeth y gan y Goruchaf ?
19:73:012:0	Wele , lly’ma yr andewolion , ac ymaent yn llwyðo yn wastat , [ ac] yn amláu mewn golud .
19:73:013:0	Ys over y glanéais vy-calon , ac y golcheis vy-dwylo mewn gwiriondap .
19:73:014:0	Can ys beunyð im poenwyt , ac im cospwyt bop boreu .
19:73:015:0	A’s dywedaf , Barnaf val hyn , wely genedlaeth dy blant : gwneuthym ar gam .
19:73:016:0	Yno y meddyliais ddeall hyn , [ eithr gormodd] gwaith oedd hyny ymy .
19:73:017:0	Yn yd aethym i Gyssecr Dew [ yno] y dyellais y dywedd hwy .
19:73:018:0	Sef y gosodeist hwy yn y llithrigvae , ac eu cwympeist ir diffeithieu .
19:73:019:0	Mor ddysymwth y dyffeithwyt hwy , eu collwyt ac eu gorphennwyt yn echryslawn .
19:73:020:0	Mal breuddwyt wrth ddihuno [ vn] : Arglwydd , pan gotych [ ni] , y gwnai y delw hwy yn dremyg .
19:73:021:0	Sef y ceulawdd vy-calon , ac y brathwyt v’arennae .
19:73:022:0	A’mineu oeddwn ynvyt , ac ny ddeallwn : yscrubl oeddwn ger dy vron .
19:73:023:0	Er hyny ydd oeddwn i yn oystat gyd a thi : delieist [ vi] erbyn vy llaw ddeheu .
19:73:024:0	A’th cygor y tywysy vi , a’ chwedy im cymery y ’ogoniant .
19:73:025:0	Pwy [ ’sydd] y mi yn y nef [ any tydy] ? ac ny ddesyfeis neb yn y ddaiar gyd a thi .
19:73:026:0	Pallawdd vy-cnawd a’m calon : [ eithyr] Dew [ yw] nerth vy-calon , a’m rhan yn tragyvyth .
19:73:027:0	Can ys wele , yr ei’n ’syn ymbelláu y wrthyt , y gollir : dinystri bawp ’sy yn puteinio y wrthyt .
19:73:028:0	A’ mineu , da ym gyfnesáu at Ddew : [ am hyny] y dodeis vy amdirieit yn yr Arglwydd Ddew , er datcan dy oll weithredoedd .
