19:27:001:1	Psalm . xxvij .
19:27:002:1	¶ Dominus illuminatio .
19:27:001:0	YR Arglwyð [ yw] vy-golauni a’m iechyt : gan bwy yr ofnaf ? yr Arglwyð [ yw] nerth vy-bywyt , gan bwy yr ofnaf ?
19:27:002:0	Pan vu ir dryc ddynion , sef vy=cystuddwyr a’m gelynion nesau ataf y ysu vy-cnawdd , y trancwyddesont ac y cwympesont .
19:27:003:0	Cyd bei l’u yn castel’y im erbyn , nyd ofnai vy-calon : a’ chyd codei vrwydyr im erbyn , yn hyn yr ymddiriedaf .
19:27:004:0	Un oeth a erchais ar yr Arglwydd , hyny a geisiaf , [ ys ef] cahel trigo yn tuy yr Arglwyð oll’ddyðiae vy-bywyt , y welet prydverthwch yr Arglwydd , ac ymwelet aei Templ .
19:27:005:0	Can ys yn y dydd mall , y cudd vi yn ei bapell , yn-dirgelfa ei luest’ y cudd ef vi , [ ac] ar graic ef am derchaif ,
19:27:006:0	Ac yr owrhon y dercha ef vy-pen goruch vy-gelynion o’m amgylch : am hyny ydd aberthaf yn ei luest’ ef ebyrth gorfoledd , canaf a’ chanmolaf yr Arglwydd .
19:27:007:0	Clyw Arglwydd , vy lleferydd , pan lefwyf : trugará hefyt wrthyf a’ gwrando arnaf .
19:27:008:0	[ Pan ddywedeist] Caisiwch vy wynep , vy-calon a atepawdd yty , Arglwydd , dy wynep a geisiaf .
19:27:009:0	Na chudd [ ditheu] dy wynep ragof , ac na vwrw ymaith dy was mewn soriant : buost yn porth ymy , na ad vi , ac na’m gwethot , Dew vy iechyt .
19:27:010:0	Cyd im gadawei vy=tat a’m mam , eto yr arglwydd am casclei .
19:27:011:0	Dysc ymy dy ffordd , Arglwydd , a’ thywys , vi yn y ffordd vnion , o bleit vy-gelynion .
19:27:012:0	Na ddyro vi wrth buchet vy=gwrthnepwyr : can ys cyvodes im erbyn testion gauoc , a chyfryw ac a ddywait drawseðd .
19:27:013:0	[ Mi ðefficieswn] pe na byswn yn credy cahel gwelet daoni yr Arglwydd yn=tir y bywion .
19:27:014:0	Gobeitha [ di] yn yr Arglwydd : bydd gadarn , ac ef a ðiddana dy galon , ac ymddiriet yn yr Arglwydd .
