19:37:001:1	Psalm . xxxvij .
19:37:002:1	Noli emulari
19:37:001:0	NAc ymddigia er yr andewiolion , ac na wynvyda wrth yr ei y wnant ðrwc .
19:37:002:0	Can ys yn ebrwydd y torir hwy , ir llawr mal glaswellt , ac y wywant mal y gwyrdd-lys .
19:37:003:0	Gobeithia yn yr Arglwydd , a’ gwna ða : tric yn y tir , ac ith porthir yn ddiau .
19:37:004:0	Ymddigrifá yn yr Arglwydd , ac ef a rydd yty [ a] airch dy galon .
19:37:005:0	Treigla dy ffordd ar yr Arglwydd : ac ymddiriet ynthaw , ac ef [ ei] gorphen .
19:37:006:0	Ef a ddwc allan dy gyfiawnder mal y golauni , ath varn val [ yr haul] haner dydd .
19:37:007:0	Dysgwyl-yn-ddystaw wrth yr Arglwydd ac ymddiriet ynthaw : nac ymddigia wrth hwn a lwyddo gantho ei ffordd , na’c wrth y gwr a wnel ei vwriadeu .
19:37:008:0	Paid a digoveint , a gad ymaith gynddaredd : nac ymofidia chwaith y ddrugu .
19:37:009:0	Can ys torir ymaith y drygddynion , a’r ei a ddysgwiliant wrth yr Arglwydd , wyntwy etiveddant y tir .
19:37:010:0	Am hyny etwo ychydigyn , ac ny [ welir] yr andewiol , ac edrychy ar lle bu ef , ac nyd [ oes dim] o hanaw .
19:37:011:0	Eithyr yr ei gostyngedic a veddant y ddaiar , ac ei diddenir gan liaws tangneddyf .
19:37:012:0	Yr andewiol a amcana yn erbyn y cyfion , ac a yscyrnyga ddanedd arno .
19:37:013:0	[ A’]r Arglwydd y gwarewor ef , can ys gwelawdd vot ei ddydd ar ddyvot .
19:37:014:0	Yr andewiolion y dynesont ei cleddyf , ac y enylesont ei bwa , y vwrw y lawr y tlawt a’r angenawc , [ ac] y ladd yr ei vnionffordd .
19:37:015:0	[ Eithyr] ei cleddyf â yn ei calon e hunain , a’ ei bwae a ddryllir .
19:37:016:0	Ys gwell ychydic ir cyfion , na mawr-olud yr andewiolion [ a’r] cedyrn .
19:37:017:0	Can ys breichiae yr andewiolion y ðryllir : a’r Arglwyð a gynnal yr ei cyfion [ y vyny . ]
19:37:018:0	Yr Arglwydd a edwyn ddyddiae yr ei perfeith , a’ ei etiveddiaeth wy vydd yn dragyvyth .
19:37:019:0	Ny’s gwradwyddir hwy yn yr amser pericul , ac yn amser newyn y cahan ddigon .
19:37:020:0	Can ys yr andewiolion y gollir , a’ gelynion yr Arglwyð a ddivéir val braster wýn : [ sef] y gyda’r mwc y diflanāt
19:37:021:0	Yr andewiol a echwyna ac ny thal adref : a’r cyfion ys y drugarawc ac a ddyry .
19:37:022:0	Can ys yr ei bendigedic gan Ddew , a etiveddant y tir , ar ei melltigedic ganthaw a dorir ymaith .
19:37:023:0	Gan yr Arglwydd y fforddir llwybreu gwr : can ys y ffordd ef ys y dda ganthaw .
19:37:024:0	Cyd bo yddo syrthio , ny vwrir e ymaith : can ys ir Arglwydd y gynnal ei law .
19:37:025:0	Mi vum ieuanc ac yð wyf yn hen : ac ny weleis [ erioet] y cyfion wedy ei ady , na ei had yn cardota [ ei] vara .
19:37:026:0	Pop amser y mae yn drugarawc ac yn rhoi benthic , a’ ei had [ a vwyná] y vendith .
19:37:027:0	Cilia ywrth ðrwc , a’ gwna dda , a’ chyfanedda yn dragyvyth .
19:37:028:0	Can ys yr Arglwydd a gar varn , ac ny ys gedy ei Sainct : cedwir hwy yn dragywydd , a’ had yr andewiolion y dorir ymaith .
19:37:029:0	Yr ei cyfion a etiveddant y tir , ac a breswiliant arnaw yn tragywyth .
19:37:030:0	Genae y cyfion a venaic ’ddoethinep , a’ei davawt y gymmwyll am varn .
19:37:031:0	[ Can ys] Deddyf ei Ddew ’sy yn ei galon , [ a’]i draet ny lithrant .
19:37:032:0	Yr andewiol a ddysgwyl y cyfion , ac a gais ei divetha .
19:37:033:0	Ny ysgad yr Arglwyð ef yn ei law , ac ny ad ef yn-auoc pan ei barner .
19:37:034:0	Dysgwyl wrth yr Arglwydd , a’ chadw ei ffordd , ac ef ath dderchaif , val etiveddych y tir , pan ddyvether yr andewiolion , y gweli .
19:37:035:0	Gwelais yr Andewiol yn gadarn , ac yn vrigawc val y lawryf gwyrdd .
19:37:036:0	Er hyny ef aeth ymaith , a’nachaf nyd oedd mwy o hano , a’ mi ei ceisiais , [ ac] ef ny cheffit .
19:37:037:0	Edrych ar y dywiol a’ gwyl yr vnion , can ys dywedd y gwr hwnw [ yw] tangneddyf .
19:37:038:0	Can ys y trawsion y ddestruwir y gyd , [ a’] dywedd yr andewiolion a gyfergollir .
19:37:039:0	Ac iechydwreith yr ei cyfion [ vydd] y gan yr Arglwyð : é vydd y nerth wy yn amser trallot .
19:37:040:0	Can ys yr Arglwyð y cymporth hwy , ac ei gwared , ef y gwared wy rac yr andewiolion , ac ei cadw hwy , can yðynt ymddiriet ynthaw .
