19:135:001:1	Psalm . cxxxv .
19:135:002:1	Laudate nomen Domini .
19:135:001:0	MOlwch Enw yr Arglwydd : molwch ef , weision yr Arglwydd .
19:135:002:0	Yr ei y sefwch yn Tuy yr Arglwyð , [ ac] yn neuaddae Tuy ein Dew .
19:135:003:0	Molwch yr Arglwydd : can ys da ywr Arglwydd : can-molwch ei Enw : can ys glwys ytyw .
19:135:004:0	O bleit etholes yr Arglwydd Iaco yddaw y un , ac Israel yn berchenogaeth yddaw .
19:135:005:0	Can ys mi wn mae ys mawr yr Arglwydd , a’ [ bot] ein Arglwydd , goruch yr oll ddewiae .
19:135:006:0	Peth pynac y ewyllysawdd yr Arglwydd , hyny a wnaeth ef yn y nefoeð ac yn yddaiar , yn y mor , ac yn yr oll ddyfndereu .
19:135:007:0	Efe gyfyt yr wybrae o eithaw’r ddaiar , ac y wna y mellt gyd ar glaw : ef e y ddwc y gwyntoedd allan o ei dresorae .
19:135:008:0	E drawodd yr oll gynt’enit yr Aipht o ddyn yd aniual .
19:135:009:0	Anvonawdd ef arwyddion a rhyueddodae ith perveð [ wlad] yr Aipht , ar Pharaóh , ac ar ei oll weision .
19:135:010:0	Trawodd ef genedloedd lawer , ac a laddawdd Vrenhin cedyrn :
19:135:011:0	[ Megis] Sichón Vrenhin yr Amorieit ac Og Vrenhin Bashán , ac oll Vrenhiniaethae Canáan .
19:135:012:0	Ac a roes ei tir yn etiueddiaeth , [ sef] yn etiueddiaeth y Israel y bopul ef .
19:135:013:0	Dy Enw Arglwydd [ y bery] yn dragyvyth : Arglwyð , dy goffaduriaeth [ ys ydd] o genedlaeth y genedlaeth .
19:135:014:0	Can ys yr Arglwydd a varn bopul , ac a ymvoddlona wrth ei weision .
19:135:015:0	Idolon y cenedloedd , ynt ariant ac aur , ’sef gwaith dwylaw dyn .
19:135:016:0	Genae ’sy yddwynt , ac ny lavarant : llygait ’sy yddwynt , ac ny welant .
19:135:017:0	Clustiae ’sy yddwynt ac ny chlywant , ac nyd oes anhetl yn eu genae .
19:135:018:0	Megis wytheu yw’r sawl ei gwnel hwy : [ velly y mae] pawp a ymddirieto ynthwynt .
19:135:019:0	Bendithiwch yr Arglwydd , duy yr Israel : bendithiwch yr Arglwydd chwy chwi duy Aaron .
19:135:020:0	Bendithiwch yr Arglwydd chwychwy tuy Leui : yr ei y ofnwch yr Arglwydd , bendithiwch yr Arglwydd .
19:135:021:0	Bendithier yr Arglwydd o Tsijón , yr hwn a dric yn Caerusalem . Molwch yr Arglwydd .
