19:51:001:1	Psalm . lj .
19:51:002:1	¶ Misere mei Deus .
19:51:001:0	TRugará wrthyf Ddew , yn ol dy drugarogrwydd : yn ol lliaws dy ddosturiae diléa vy amwireddeu .
19:51:002:0	Golch vi yn llwyrðwys o ywrth vy oll anwiredd , a’ glanha vi o ddiwrth vy-pechot .
19:51:003:0	Can vy-bod yn adnabot vy anwireddeu a’m pechot ys ydd yn wastad gar vy-bron .
19:51:004:0	Yn dy erbyn di , yn dy erbyn di yn vnic y pechais , ac a wneuthym ddrygioni yn dy olwc , val ith gyfiawnir pan ðywetych , a’ bod yn bur pan varnych .
19:51:005:0	Nachaf , mewn enwiredd im ganet , ac ym-pechot ir ymdduc vy mam vyfy .
19:51:006:0	Wele , ceraist wirionedd o ddy mewn : am hyny y dysceist y mi ddoethinep yn-dirgelwch [ vy-calon] .
19:51:007:0	Carth vi ac yssop , ac im glanheir : golch vi , a’ byddaf wnach na’r eiry .
19:51:008:0	Gwna ymy glywed gorfoledd , a’ llawenydd , val y bo i’r escyrn , a ddrylliaist , lawenychu .
19:51:009:0	Cudd dy wyneb o ddiwrth vy pechodeu , a’ diléa vy oll enwireddeu .
19:51:010:0	Crea ynof galon ’lan , â Ddew , ac adnewydda yspryt vnion ynof .
19:51:011:0	Na vwrw vi ymaith o ddy ger dy vron , ac na ddwc dy Yspryt glan o ddiarnaf .
19:51:012:0	Dwc drachefyn y my ’orfoledd dy iechydwrieth , ac ath hael yspryt cynnal vi .
19:51:013:0	Yno y dyscaf dy ffyrdd ir ei anwir , a’ phechadurieid a ddymchwelant atat .
19:51:014:0	Gwared vi rhac gwaed , â Ddew , [ ys ti] Dew vy iechydwrieth , am tafod a gān yn llafar oth gyfiawnder .
19:51:015:0	Arglwydd , agor vy gwefusae , a’m genau a veneic dy voliant .
19:51:016:0	Ca’n na ddeisyfy [ vn] aberth , pe rhoesym : [ a] phoeth aberth ny chery .
19:51:017:0	Aberthau Duw [ ynt] yspryt drylliedic : calon ddryllioc gystuddedic , Dew ny thremygi .
19:51:018:0	Bydd dda wrth Tsion erwydd dy ewyllysgarwch : adeilad vuriau Caerusalem .
19:51:019:0	Yna y bydd cymradwy genyt ebyrth cyfiawnder , [ ys] poeth offrwm ac offrymiat : yna yr aberthant loie ar dy allor .
