19:68:001:1	Psalm . lxviij .
19:68:002:1	¶ Exurgat Deus .
19:68:001:0	DEw a gyvyt , [ ac] oyscerir ei elynion : a’r ei y casant ef , a giliant racðaw .
19:68:002:0	Meis y dyflanna y mwc , [ velly] y gyrry [ hwy] ymaith : [ a’] meis y tawdd y cwyr wrth y tan , [ velly] y collir y rei andewiol rhac wynep Dew .
19:68:003:0	A’r ei cyfion vyddant lawen [ a’] hyfryt ger bron Dew : ac ymorugant o ’ovoledd .
19:68:004:0	Cenwch ’y Ddeo , [ a’] chan-molwch ei Enw : mawrygwch ef ys ydd yn marthogeth ar y nefoedd , yn y Enw ef Iah , ac ymlawenéwch ger y vron ef .
19:68:005:0	[ Efe yw] Tad yr amddifeit , a’ barnwr y gwragedd-gweddwon , [ ys] Dew yn ei breswylfa sanctaidd .
19:68:006:0	Dew a wna ir ei vnic drigo yn duylwyth , [ ac] a ryddá yr ei oedd garcharorion mewn cyffion : eithr yr ei anuvydd a dric mewn tir sychedic .
19:68:007:0	A Ddew , pan aethost allan o vlaen dy popul , pan elyt trwy ’r diffeithwch , ( Selah )
19:68:008:0	Yr escutwodd y ddaiar , ac y destilliawdd y nefoedd gan gynnyrch Dew : [ ys cyffroawdd] Sinai gan gynnyrch Dew , [ sef] Dew Israel .
19:68:009:0	Dew , anvoneist glaw grasusawl [ ar] dy etiveddiaeth , a’ thi hei esmwytheist pan oedd yn vlin .
19:68:010:0	Dy Gynnlleidfa a drigawð ynthei : [ can ys ti] â Ddew , oth ddaoni [ ei] darpereist i’r tlawt .
19:68:011:0	Yr Arglwydd y roddes ðevnydd ir gwragedd y venegi am y llu mawr .
19:68:012:0	Brenhinedd y lluoedd a giliesont : ciliesont , a’ hon a drigei yn tuy a ranawdd yr yspeil .
19:68:013:0	Cyd bu ychwi orwedd ymysc crochanae , [ er hyny chwi vyddwch] megis adanedd colomben wedy thoi ac arian , a’ ei phlu [ val] yr aur-coeth .
19:68:014:0	Pan oyscarodd yr Ollgyvoethawc Vrenhinedd ynthei , ydd oedd hi cyn wynnet a’r eiry yn tSalmon .
19:68:015:0	Mynyth Dew [ ys y val] mynyth Bashán : mynyth vchel [ yw val] mynydd Bashán .
19:68:016:0	Paam y neidiwch vynyddedd vchel ? [ ys] y mynydd hwn y gâr Dew ei breswiliaw : ’sef yr Arglwydd a breswyl [ ynthaw] yn tragywyth .
19:68:017:0	Siaredae Dew [ ys ydd] vgein-mil , o violedd o Angelion , [ a’r] Arglwydd ys ydd yn ei plith , megis yn-Cyssecr Sinái .
19:68:018:0	Escennaist yn vchel : tywyseist gaethiwet yn gaeth , [ ac] a dderbynieist roðion y ddynion : ac ys tywyseist y cyndynion , val y trigei yr Arglwydd Ddew yno .
19:68:019:0	Clodvorer yr Arglwydd , ys ef Dew ein iechydwrieth , [ yr hwn] ’s y baunyð yn ein llwytho a daioni . Selah .
19:68:020:0	Hwn [ yw] ein Dew , [ ’sef] y Dew [ perchen] ein iechyt : ac i’r Arglwydd Ddew [ y perthyn] mynediadeu angae .
19:68:021:0	Dew a archolla ben ei elynion , a’ chopa ’walltoc yr hwn a rodia yn ei bechoteu .
19:68:022:0	Syganei yr Arglwydd , Dygaf [ vy-popul] drachefyn o Bashán : dygaf hwy drachefn o ddyfndereu y môr .
19:68:023:0	Y ny drocher dy droet yn-gwaet , a’ thavot dy gŵn yn=gwaet y gelynion [ sef] ynthaw .
19:68:024:0	Gwelsont Ddew , dy vynediadeu , vynediadeu vy-Dew , a’m Brenhin , [ yr hwn wyt] yn y Cyssegr .
19:68:025:0	Y cantorion aent or blaen , a’r cerðorion ar ol : yn y cenol [ ydd oedd] y morynion-ieuainc yn canu tympan .
19:68:026:0	Clodvorwch Ddew yn y cymmynvae , [ a’r] Arglwydd , yr ei ydych o ffynnon Israel .
19:68:027:0	Yno [ yd oedd] Ben Iamin vachan [ ef a] ei llywiawdr , hwy : a’ phenaethiait Iudáh [ y gyd] eu communva , pennaethieit ðSebulon , a’ phennaethieit Naphtali .
19:68:028:0	Dy Ddew a gymmynnawð dy nerth : cardarná Ddew yr hyn y weithredeist ynom ,
19:68:029:0	Oth Templ ar Gaeruselem : a’ Brenhinedd a ddugant anregion yty .
19:68:030:0	Codda dorf y gwyr gwaywffyn , [ a’] lliaws y gwrdd-deirw y gyd a lloie y popul , yr ei a sathrant ðarneu o arian : goyscar y bopuloedd a garant ryvel .
19:68:031:0	[ Yno] y daw y pendevigion o’r Aipht : Ethiopia a vrysia y esten ei dwylo ar Ddew .
19:68:032:0	Teyrnasoedd y ðaiar cenwch y Ddew : can-molwch yr Arglwydd . Selah .
19:68:033:0	Yr hwn y varchoc ar y nefoedd goruchel , [ yr ei oeðent] o’r dechreuat : wele e ddenvyn gan ei leferyð lais cadarn .
19:68:034:0	Rowch y Ddew y cedernit : [ can ys] y ’orucheldap ef [ ys ydd] ar Israel , a’ ei nerth [ ys ydd] yn yr wybrae .
19:68:035:0	Dew , ys terribl wyt oth gyssecrae : Dew’r Israel ywr hwn a ddyry nerth a’ gallu i’r popul : bendiget vo Dew .
