19:16:001:1	Psalm . xvj .
19:16:002:1	Conserua me Domine .
19:16:001:0	CAdw vi Dduw , can ys ynot’ ymddiriedeis .
19:16:002:0	[ Vy eneit , ] dywedaist wrth yr Arglwydd , Vy Arglwydd ydwyt , vy-da i nyd [ lles] yty .
19:16:003:0	Eithr i’r Saint ys y yn y ddaiar , ac i’r ei ragorawl : vy oll ewyllys ys yð ynthwynt .
19:16:004:0	Ef a amlheir gofidieu yr ei a redant [ ar ol Duw] arall : eu h’offrwmeu o waed nyd offrymaf , ac ny wnaf goffa am eu h’enweu a’m gwevuseu .
19:16:005:0	Yr Arglwydd [ yw] rran vy etiueddiaeth a’m phiol : ti a gynhely vy coelbren .
19:16:006:0	Y rhaffeu [ mesur] a ddygwyddawdd y mi mewn lleoedd tirion : ac y mae ymy etiueddiaeth glaerdec .
19:16:007:0	Bendithiaf yr Arglwydd , yr hwn a’m cygorawdd : vy ’rennae hefyd ys ydd im dyscu yn y nos .
19:16:008:0	Gosodeis Ddew bop amser ger vy-bron : can ys y mae ef ar vy-deheulaw , [ am hyny] ny lithraf .
19:16:009:0	Erwydd pa bleit y llawenychawð vy-calon , ac y ymorugawdd vy-gogoniant , am cnawt hefyd a orphwwys yn-gobeith .
19:16:010:0	Can ny edewy vy eneit yn y bed : [ ac] ny oddefy dy sanct y welet llygredigaeth .
19:16:011:0	Dangos [ a wnai] ymy lwybyr bywyt : ger dy vron y mae llawnder llawenydd : [ ac] ar dy ddehaulaw y mae digrifwch yn tragyvyth .
