19:74:001:1	Psalm . lxxiiij .
19:74:002:1	Vt qiud Deus repulisti .
19:74:001:0	A Ddew , paam ein dodeist ymaith yn dragyvyth ? [ paam] yr ennyn dy ddigllonedd yn erbyn deveit dy porva ?
19:74:002:0	Meddwl am dy Gynnulleiddfa , [ ’rhon y] veddaist o’r cynvyt , ac am wialen dy etiueddieth yr hon y brynaist , [ ac] am y mynyth hwn i Tsijon yn yr vn y trigeist .
19:74:003:0	Dercha dy draet , val y dinistrych yn dragyvyth bop gelyn , y ddruga dy Gyssecr .
19:74:004:0	Dy wrthnebwyr a ruant yn-cenol dy Gynulleidva , ac y osodant ei banerae yn arwyddion .
19:74:005:0	[ Yr hwn a godes] y bwyeill ar y prenneu cyngavoc , oedd adnabodedic , val vn yn dwyn peth y vcheldep :
19:74:006:0	Ac yr owrhon y torant y lawr hei gwaith cerviedic [ gid] a bwyeill ac a mwrthoelion .
19:74:007:0	Tavlesont dy Gyssecr yn tân , [ ac ei tynnesont] yd lawr , [ ac] a halogesont drigva dy Enw .
19:74:008:0	Dywedent yn eu calon , anreithiwn hwy y gyd : wy loscesant oll Synagogae Dew yn y tir .
19:74:009:0	Ein arwyddion ny welwn : nyd oes mwy vn Prophwyt , na neb gyd a ni a wyr pa hyd .
19:74:010:0	Pa hyd , Ddew , [ ith] cawdd y gwrthnebwr ? a gabla y gelyn dy Enw yn dragyvyth ?
19:74:011:0	Paam y troi dy law ymaith , ys ef dy ddeheulaw : [ tyn hi] oth vonwes , [ a’] diva hwy .
19:74:012:0	Can ys Dew [ yw] vy-Brenhin o’r cynvyt : yn gwaithiaw iechyt yn-cenol y ddaiar .
19:74:013:0	Ti a bartheist y môr gan dy gedernit : drylliaist béne y dreiciae yn y dyfredð ,
19:74:014:0	Ti ddrylliest ben Leuiathan yn chwilvriw , ac ei rhoddeist yn vwyt ir popul yn y diffeithwch .
19:74:015:0	Ti a doreist ffynnon ac avon : dysycheist avonedd cedyrn .
19:74:016:0	I ti y mae ’r dydd , ac y ti y mae’r nos : ti paratoeist y golauni a’r haul ,
19:74:017:0	Ti ’osodeist oll dervynae ’r ddaiar : ti wnaethost haf a gaiaf .
19:74:018:0	Coffa hyn , gablu o’r gelyn yr Arglwydd , a divenwi or bobul ynvyt dy Enw .
19:74:019:0	Na ddyro eneit dy durtur ir bwystvil , [ ac] na angofia gynulleidfa’r tlodion yn tragyvyth .
19:74:020:0	Edrych at [ dy] ðygymbot : can ys tywyll-leoedd y ddaiar a lanwyt o drigvae y dyn traws .
19:74:021:0	Na bo ir gorthrymedic ymchwelyt yn wradwyddedic , [ eithr] molent y tlawd ar angenawc dy Enw .
19:74:022:0	Cyvot , Ddew : dadle dy ddadl dy-un : coffa dy sén beunyddiol gan yr ynvyt .
19:74:023:0	Nac ancofia lef dy elynion : [ can ys] dwrdd yr ei ys y yu codi ith erbyn , a escen yn oystat .
