19:52:001:1	Psalm . lij .
19:52:002:1	¶ Quid gloriaris in malicia .
19:52:001:0	PAam ydd wyt yn ymffrostio yn [ dy] ddrigioni , ha gadarn ? [ a’] thrugaredd Ddew beunydd .
19:52:002:0	Dy davot a ddychymic scelerder , ac [ ysy] val ellyn llym yn gwneuthur twyll .
19:52:003:0	Caryt ddrugioni yn vwy no daoni , [ a’] chelwydd yn vwy no dywedyt gwir . Sélah .
19:52:004:0	Caryt ddywedyt oll’airiae destruw , tydy davot twyllodrus .
19:52:005:0	Ys Dew ath ddestruwia yn tragyvyth : ef ath cymer ac ath tyn o [ ’th] luest’ , ac ath ddiwreiddia o dir y bywyt . Sélah .
19:52:006:0	Yr ei cyfion hefyt a welant [ hyn] , ac a ofnant , ac a chwarthant am ei ben , [ gan ddywedyt . ]
19:52:007:0	Wel’d’ yma y gwr ny chymerth Ddew yn nerth iddo , anid amddirieit yn lliosogrwydd ei ’olud , [ ac] ymnerthy yn ei ddrygioni .
19:52:008:0	Amineu [ vyddaf] mal oleowydden , werð yn-tuy Ddew : [ canys ymddiriedais yn-trugaredd Ddew byth bythawl .
19:52:009:0	Mi ath glodvoraf yn dragyvyth , can yty wneuthy ’d [ hyn , ] ac a ’obeithaf yn dy Enw , canys da ytyw ger bron dy Sainct .
