19:72:001:1	Psalm . lxxij .
19:72:002:1	Deus iudicium .
19:72:001:0	DEw , dod dy varn ir Brenhin , ath gyfiawn der i vap y Brenhin .
19:72:002:0	[ Yno] y barn ef dy popul yn-cyfiawnder , a’r tylodion ac vniondep .
19:72:003:0	Y mynyddedd a’r brynneu a dducant dangneddyf ir bopul gan gyfiawnder .
19:72:004:0	Ef varn dylodion y bopul : ef a ’weryd blant yr angenoc , ac ef a gostwya y gorthrymwr .
19:72:005:0	Wy ath ofnant tra vo haul na lloer , o genedlgaeth y genedlaeth .
19:72:006:0	E ddescen val y glaw ar y wana ’wair , [ ac] val y cawodydd y wlithant y ddaiar .
19:72:007:0	Yn y amser ef y blodeua y cyfiawn , ac [ y bydd] amledd tangneddyf yd tra vo lleuat .
19:72:008:0	A’ ei lywodraeth vydd o’r mor bwygylydd , ac o’r Avon yd tervynae y tir .
19:72:009:0	Ger y vron ef y gestwng y diffeithwyr , a’ei ’elynion a lyfant y llwch .
19:72:010:0	Brenhinedd Tharschisch a’r ynysedd ei anrhegant : Brenhinedd Scheba a’ Seba a dducant roddion .
19:72:011:0	A’r oll Vrenhinedd y anrydeddant ef : [ yr] oll genedloedd ei gwasanaethant .
19:72:012:0	Can ys ef a ymwared y tlawt pan waeddo : yr angenawc hefyt , ar nep ny bo yddaw ymwaredwr .
19:72:013:0	E vydd trugarawc wrth y rraidus a’r angenawc , ac a ymwared eneidiae yr tlotion .
19:72:014:0	Ef a bryn ei h’eneidiae rac dichell a thrawster , a gwerthvawr vydd ei gwaet yn ei olwc .
19:72:015:0	A’ byw vydd ef , ac e roddir iddo o aur Sheba : ac e weddijr drostaw yn oystat , [ a’] pheunyð y bendithiant ef .
19:72:016:0	Ychydic ŷd a [ heuir] yn y ddaiar , [ ’sef [ ar ben y mynyddedd , [ a’] ei ffrwyth a yscytwa meis [ coedwydd] Lebanon : a’r [ plant] a vlodeuant o’r dinas , meis [ glas]wellt y ddaiar .
19:72:017:0	Ei enw a vydd byth : ei enw a bery tra vo haul : yr oll cenedloedd ei bendithiant , [ ac y vendithir ynthaw .
19:72:018:0	Bendigedic [ vo’r] Arglwydd Ddew , ’sef Dew Israel , yr hwn yn vnic y wna ryveddodae .
19:72:019:0	Ac bendigedic [ vo] Enw ei ’ogoniant yn tragyvyth : a’ chyflawner yr oll ddaiar a ei’ ogoniāt . Velly y bo , ac velly y bo . Yma y tervyna gweddieu Dauid vap Ishai .
