19:146:001:1	Psalm . cxlvj .
19:146:002:1	Lauda anima mea .
19:146:001:0	MOla [ di] vy eneit yr Arglwydd .
19:146:002:0	Molaf yr Arglwydd yn vy-byw , canaf im Dew yd y bythwyf .
19:146:003:0	Na rowh eich coel ar dywysogion , [ nac] ar vap dyn , can nad oes yntho ymwaret .
19:146:004:0	Ymedy ei anhetl , ac ef a ddymchwyl yw ddaear : y pryd hyny y cyfergolla ei veddulieu .
19:146:005:0	Gwynvydedic [ yw ’r hwn] y mae Dew Iaco yn borth yddaw , ac ei ’obeith yn yr Arglwydd ei Ddew .
19:146:006:0	Yr hwn y ’wnaeth nef a’ daiar , y mor , ac oll [ ys ydd] yuthwynt : yr hwn y gaidw [ ei] wirionedd yn tragyvyth :
19:146:007:0	Yr hwn y wna varn ir ei gorthrymedic : yr hwn y rydd vwyt ir ei newynoc : yr Arglwydd y ellwng y carcharorion .
19:146:008:0	Yr Arglwydd y rydd golwc ir deillion : yr Arglwydd a gyvyt yr ei crebachedic : yr Arglwydd y gar yr ei cyfion .
19:146:009:0	Yr Arglwydd y gaidw yr alltudion : yr amddifat ar’ weðw y gymporth ef : a’fforð yr andewolion ef ei gwthia i lawr .
19:146:010:0	Yr Arglwydd y deyrnasa yn tragywyth : â tSijon dy Ddew [ ys ydd] o genedlaeth y genedlaeth . Molwch yr Arglwydd .
