19:30:001:1	Psalm . xxx .
19:30:002:1	Exultabo te Domine .
19:30:001:0	DY vawrygy awnaf , Arglwydd , can ys derchefeist vi , ac ny lawenecheist vy=gelynion am danaf .
19:30:002:0	Arglwyd vy=dew , dolefeis arnat’ a’thithae am iachéist .
19:30:003:0	Arglwydd , dugeist vy eneit y vyny o’r bedd : bywéaist vi ywrth yr ei ’sy yn , descen i’r pwll .
19:30:004:0	Can=molwch yr Arglwydd y sainct ef , a’ chlodvorwch [ ger bron] goffaduriaeth ei sancteiddrwydd .
19:30:005:0	Can na phery ef [ anid] enhyd bach yn ei lit : ac yn ei garennyd y mae bywyt : wylofain [ a all] aros echwyð , anid [ e ddaw] gorvoledd y borae .
19:30:006:0	A’ mi ddywedwn yn vy llwyddiant , Ni’m yscogir yn tragyvyth .
19:30:007:0	[ Can ys , ] Arglwydd oth ddaoni y gwneytheist i’m mynyth sefyll yn gadarn : [ eithr] cuddiaist dy wynep . ac im cynnyrfwyt .
19:30:008:0	[ Yna] y llefeis arnati , Arglwydd , ac y gweddiais ar yr Arglwydd .
19:30:009:0	Pa vudd [ ys ydd] yn vy=gwaet , pan ddescenwyf i’r pwll ? a vydd i’r llwch dy glodvory ? [ ac] a venaic ef dy wirionedd ?
19:30:010:0	Clyw Arglwydd , a’ thrugará wrthyf : Arglwydd , byð ganhorthwywr ymy .
19:30:011:0	[ Ys] ymchweleist vy=galar yn llewenydd : d’atodeist vy sach [ wisc] , a’ gwregeseist vi a llawenydd .
19:30:012:0	Erwydd hynny ith can mawl vy tavot ac ny thau : Arglwydd vy=Dew , mi ath glodvoraf yn tragyvyth .
