19:64:001:1	Psalm . lxiiij .
19:64:002:1	¶ Exaudi Deus orationem meam .
19:64:001:0	ERglyw vy llef Ddew , yn vy-gweði : cadw vy einioes rac ofn y gelyn .
19:64:002:0	Cuddia vi rac cyfrinach y drygddynion , [ a’] rac cythrudd gweithredwyr enwiredd
19:64:003:0	Yr ei a hogesont ei tavot mal cleddyf , ac y saethant ei saethae [ o]’airiae chwerwon .
19:64:004:0	Y saethu yn ddirgel at y [ dyn] vnion : dysymwth y saethant ef , ac nid ofnant .
19:64:005:0	Ymmerthu a wnant mewn peth drwc : ymchwetleuant y ’osot magleu yn ddirgel , [ a’] dywedant , Pwy gwyl hwy ?
19:64:006:0	Chwiliesant am enwireðeu , [ ac] a gwplesant y peth y chwiliesōt am dano , ys dirgel [ vedwl , ] ac eigion ei calon .
19:64:007:0	Eithyr Dew y saytha hwy a saeth yn ddysymwth : ei briwie vyddant [ ar vnwaith . ]
19:64:008:0	A’ hwy wnant yw tavodae ehunain gwympo arnynt : [ a’] phawp y gwyl hwy , a giliant .
19:64:009:0	A phop dyn [ ei] gwyl , ac a venagant waithret Dew , ac y ddeallant y ’waith ef .
19:64:010:0	[ A’r] cyfiawn a ymlawená yn yr Arglwydd , ac a ymddiriet ynthaw : a’ phawp ’sydd vnion o galon , vyddan hyfryd .
