19:33:001:1	Psalm . xxxiij .
19:33:002:1	Exultate iusti in Domino .
19:33:001:0	YMlawenhewch yr ei cyfion yn yr Arglwyð : can ys gweddus ir ei cyfion vot yn ddiolchgar .
19:33:002:0	Molwch yr Arglwydd a’r [ y] delyn : cenwch yddo ar y nabel [ ac ar gyffurf] dectant .
19:33:003:0	Cenwch iddo ganiat newydd : cenwch yn gerddgar ac yn soniarus .
19:33:004:0	Can ys vnion gair yr Arglwydd , a’ ei oll weithrededd ys y ffyddlon .
19:33:005:0	E gár gyfiawnder a’ barn : o drugaredd yr Arglwddd y ddaiar [ ys y] gyflawn .
19:33:006:0	Gan ’air yr Arglwydd y gwnaethpwyt y nefoedd , a’y oll lluoedd hwy gan yspryt ei enae .
19:33:007:0	E gynnull ddyfredd y mor ynghyt [ megis] yn bentwr , gan ddodi yr eigiawn yn ei dresoreu .
19:33:008:0	Bid ofn yr Arglwydd ar yr oll ddaiar : bid ei arswyt ef ar oll drigolion y byt .
19:33:009:0	Can ys ef a ddyvot , ac [ velly] y bu : ef a ’orchymynawð , a [ hyny] savodd .
19:33:010:0	Yr Arglwydd a wascar gyccor y cenedloedd , ac a ðiddymia amcanion y populoedd .
19:33:011:0	Cyccor yr Arglwyð a saif yn dragyvyth , a’meddyliae ei galon o genedlaeth , i genedlaeth byth .
19:33:012:0	Gwyn ei vyt y genetl , y mae Dew yn Arglwydd ydd hi , [ a’r] popul , [ a] ddetholes ef yn etiueddiaeth yddo .
19:33:013:0	Yr Arglwydd ys y yn edrych y lawr o’r nefoedd , ac yn gwelet oll blant dynion .
19:33:014:0	O breswyl ei drigva y tremia ar oll drigolion y ddaiar .
19:33:015:0	Ef a ffurfia ei calonae bop vn , [ ac] a ddeall ei holl weithredeu .
19:33:016:0	Ny waredir y Brenhin gan liaws llu , [ ac] ny ddianc y gwr-nerthawc gan liaws cryfder .
19:33:017:0	Palledic yw march y ymwared , ac nyd achup e [ neb] gan vaint ei nerth .
19:33:018:0	Wele , lygat yr Arglwydd ar yr ei aei ofnant , ac ar yr ei y ymddiriedant yn ei drugaredd .
19:33:019:0	Er mwyn gwaredy ei heneidieu ywrth angae , ac y bywhau hwy yn [ amser] newyn .
19:33:020:0	Ein eneit ys y yn dysgwyl am yr Arglwydd : can ys ef yw ’n porth a’n tarian .
19:33:021:0	Can ys ynthaw y llawenycha ein calon , erwydd yni ’obeithaw yn ei Enw sanctaidd .
19:33:022:0	Bit dy drugaredd , Arglwydd , arnam , meis ydd ym yn ymddiriet ynot’ .
