19:41:001:1	Psalm . xlj .
19:41:002:1	Beatus qui intelligit .
19:41:001:0	GWyn ei vyt a ystyria wrth y tlawt yr Arglwydd ei gwareda yn amser-trallawt .
19:41:002:0	Yr Arglwydd ei caidw , ac ei bywá : gwynvydedic vydd ar y ddaiar , ac ny’s roddy ef wrth wyllys ei elynion .
19:41:003:0	Yr Arglwydd ei nertha ar wey dolurieu : ymchweleist ei oll wely yn ei glefyt .
19:41:004:0	Dywedeis , Arglwydd trugará wrthyf : iacha vy eneit , canys pechais ith erbyn .
19:41:005:0	Vy gelynion y lavarent ddrwc am danaf , [ gan ddywedyt] , Pa bryd y bydd varw , ac y dervydd am ei enw ?
19:41:006:0	Ac a’s daw im govwyaw , e ddywait gelwydd , a’ei galon y gascl enwiredd o ei vewn , [ a’ phan] ddel allan y dywait .
19:41:007:0	Vy oll ddygaseion a gyd hustyngent im erbyn : [ sef] yn vy erbyn y dychymygent y drwc yma .
19:41:008:0	Peth y vall a ddeuth arno : a’r hwn ’s yn gorwedd , ny chyvyt mwyach .
19:41:009:0	Hefyd , vy-car caredigol yr’hwn y ymddiriedwn iddo , ac a vwytaei vy-bara , a dderchavodd y sawdl im erbyn .
19:41:010:0	Tithau Arglwydd , trugará wrthyf , a’chyfod vi y vyny : a’ mi eu gobrwyaf .
19:41:011:0	Wrth hyn y gwn dy vot im hoffy , can nad yw vy-gelyn yn cael ei wynfyd arnaf .
19:41:012:0	Ac am danavi , yddwyt , im cynnal yn ve-perfeithrwyð , ac yn ve-gosot ger bron dy wynep yn tragyvyth .
19:41:013:0	Bendigeit [ vo] Arglwyð Ddew [ yr] Israel yn oes oesoedd . Velly y bo , ys velly y bo .
