19:111:001:1	Psalm . cxj .
19:111:002:1	Confitebor tibi Domine .
19:111:001:0	CLodvoraf [ vi] yr Arglwydd a’m oll calon , yn cymmunva a’ chynnulleidva yr ei vnion .
19:111:002:0	Ys mowrion [ yw] gweithredeð yr Arglwyð , ac y h’ymgais pawp aeu hoffant .
19:111:003:0	Tec a’phrydverth [ yw] ei waith , a’ ei gyfiawnder a saif yn tragyvyth .
19:111:004:0	Ef a wnaeth vot coffa am ei ryveddodae : yr Arglwyð ’sy drugarawc ac yn-llawn-tosturi .
19:111:005:0	Roddes ef ran i’r ei y h’ofnant ef : mevyr vydd yn tragywyth am ei ddygymbot .
19:111:006:0	Nerth ei weithrededd a ddangosawð ef y’w bopul , wrth roddy yddwynt etiveddieth y cenedloedd .
19:111:007:0	Gweithrededd y ddwylaw [ yw] gwirionedd a’ barn : ei oll ’orchmynion ’sy gywir .
19:111:008:0	Safadwy ynt vyth [ ac] yn tragyvyth , gwedy ei gwneuthur yn-gwirionedd ac vniondep .
19:111:009:0	Anvonawdd ymwared y’w bopul : gorchymynawdd ei ddygymbot yn tragywyth : sanctaiddiol a’ therribil yw ei Enw .
19:111:010:0	Dechreuat doethinep [ yw] ofn yr Arglwydd : [ ys] da [ yw] deall yr oll rei’eu gwnant : y voliant ef a saif yn tragyvyth .
