19:107:001:1	Psalm . cvij .
19:107:002:1	Confitemini Domino .
19:107:001:0	CLodforwch yr Arglwydd , can ys da ytyw : can ys ei drugaredd [ ’sy yn] tragyvyth .
19:107:002:0	Dywedant yr ei y brynwyt gan yr Arglwyð , modd y gwaredawð ef hwy o law y gorthrymwr ,
19:107:003:0	Ac ei casglawdd hwy o’r tiredd , o’r Dwyrein , ac o’r Gorllewyn , o’r Gogledd ac o’r Deau .
19:107:004:0	Pan grwydrent yn y dyffeith allan o’r ffordd , eb gahel vn dinas y drigio ,
19:107:005:0	Ys yn newynoc [ ac] yn sychedic , ei heneit a ballawdd ynthwynt .
19:107:006:0	Yno gwaeddasont ar yr Arglwyð yn ei cyfingder , [ ac] ef ei diangawdd oei gwascvâe ,
19:107:007:0	Ac ef ei tywysawdd rhyd y ffordd vnion , val ydd elent i ddinas preswyl .
19:107:008:0	[ Can hyny] cyffessant ger bron yr Arglwydd ei drugarogrwydd , a’i ryveddodae ger-bron plant dynion .
19:107:009:0	Can ys diwallawdd ef yr eneit sychedic , a’r eneit newynawc y lanwodd ef a daoni .
19:107:010:0	Yr ei y dric yn-tywyllwch ac yn-gwascawt angae , yn rhwym mewn trueni a’haiarn ,
19:107:011:0	Can yddyn gildynnu yn erbyn geiriae Dew , a’ thremygy cycor y Goruchaf ,
19:107:012:0	Pan ostyngawdd ef ei calon a chystudd , [ yno] y cwympesont ac nid oedd canorthwywr .
19:107:013:0	Yno y llefent ar yr Arglwydd yn ei cyfingder , [ a’] gwaredawdd ef wynt o ei gwascvâe .
19:107:014:0	Ef y Duc hwy allan o dywyllwch , ac [ o] ’wascawt angae , ac e ddrylliawdd ei rrwymae .
19:107:015:0	[ Am hyny] coffessant ger bron yr Arglwydd ei drugarogrwydd , a’i ryveddodae ger bron plant dynion .
19:107:016:0	Can ys drylliawdd ef y pyrth evydd , ac adorawdd y trosolion heyrn yn ddrylliae .
19:107:017:0	Ynvydion o bleit ei camwedd , ac o achos ei henwiredd a boenir .
19:107:018:0	Fieddient ei h’eneidiae bop bwyt , ac eu dugwyt yd wrth byrth angeu .
19:107:019:0	Yno y llefent ar yr Arglwydd yn ei h’ing , ac y wrth ei cyfingdereu eu gwaredawdd .
19:107:020:0	Anvonei ef ei ’air ac eu hiachaodd , ac eu gwaredawdd rac eu divancolleu .
19:107:021:0	[ Am hyny] coffessant ger bron yr Arglwydd ei drugarawgrwydd , ai ryveddodae ger bron plant dynion ,
19:107:022:0	Ac aberthant ebyrth moliant , a’ datcan ei weithrededd a’ gorvoledd .
19:107:023:0	Yr ei y ddescennant ir mor mewn llongae , [ ac] ys y yn gwneythyd [ ei] gwaith mewn dyfredd mawrion ,
19:107:024:0	Wy [ ntwy] a ’welant weithrededd yr Arglwydd , a’ ei ryveddodae yn yr eigiawn .
19:107:025:0	Can ys dywait ef ac a gyfyd wynt tempestloc , ac y ddercha ei donheu .
19:107:026:0	Escennant ir nefoedd , a’ descennant ir eigiawn , [ val] y tawdd ei heneit gan gyni .
19:107:027:0	Ymbendroi a wnant , a haldian val [ dyn] meddw , a’ei h’oll doethinep a balla .
19:107:028:0	Yno y llefynt ar yr Arglwyð yn ei cyfingder , [ ac] allan o’ei , gwascvâe ef eu dwc ,
19:107:029:0	Efe a oystatâ yr ystorm yn dawel , val y dystawant eu tonheu .
19:107:030:0	Yno llawen vyddant oei ’llonyddy , ac ef eu dwc ir borthladd [ ydd oedd] eu h’wyllys .
19:107:031:0	[ Am hyny] coffessant ger bron yr Arglwydd eu drugarawgrwydd , a’i ryveddodae ger bron plant dynion .
19:107:032:0	A’ derchafant ef yn-Cynnlleidfa y popul , ac yn eisteddfot yr henurieit molant ef .
19:107:033:0	Efe a dry y llifeiriaint yn ddiffeithwch , a’r ffynnoniae dyfredd yn hyspydd ,
19:107:034:0	[ A’] thir ffrwythlawn yn ddiffrwyth am ddrigioni yr ei y dric ynthaw .
19:107:035:0	Trachefyn e dry y diffeithwch yn lynn dwfyr , a’r tir sych yn ffynnoniae ,
19:107:036:0	Ac yno y gesot e yr ei newynoc , ac yr adeilant ddinas y drigo ,
19:107:037:0	Ac y heuant vaesydd , ac y plannāt winwydd , yr ei dducant doreth ffrwythlawn .
19:107:038:0	Can ys ef ei bendithia , ac eu tra lliosocir , a’i yscrublieit ny’s lleia ef .
19:107:039:0	Thrachefyn y llaiéir [ dynion] , ac ei gostynger gan drawsinep , drwg a’ llescedd .
19:107:040:0	Ef a dywallt dremic ar dywysogion , ac awna yddwynt grwydro yn yr anialwch o yar y ffordd .
19:107:041:0	Ac ef y gyvyt e y tlawt o advyd , ac a wna yddo duyluoeð mal [ cadw] defeit .
19:107:042:0	Yr ei vnion ei gwyl , ac a lawenánt , ac oll enwiredd a gae ei eneu .
19:107:043:0	Pwy ys y ddoeth , val y catwo y pethae hyn ? can ys wy a ddyallant drugareddeu yr Arglwydd .
