19:26:001:1	Psalm . xxvj .
19:26:002:1	¶ Iudica me domine .
19:26:001:0	BArn vi Arglwydd , can ys rhodieis yn vy=gwiriondep , ac ymddirideis yn yr Arglwyð : am hyny ny lithraf .
19:26:002:0	Praw vi , Arglwydd , a’chwilia vi : treia vy arenae a’m calon .
19:26:003:0	Can ys dy trugaredd [ ys y] geyr [ bron] vy-llygait : am hyny y rhodiais yn dy wirionedd .
19:26:004:0	Nyd esteddeis gyd gwac ddynion , a’ chyd a’r ei llechiat nyd aethym .
19:26:005:0	Cefeis gynnulleidfa yr ei drwc , ac nyd eisteddais y gyd a’r andewiolion .
19:26:006:0	Glochaf vy-dwylo yn-gwiriondep , Arglwydd , ac a gylchynaf dy allor .
19:26:007:0	Val y mynagwyf lef clodvoredd , a’ datcan dy oll ryveddodae .
19:26:008:0	Arglwydd , cereis drigvan dy duy , a’r lle y preswilia dy anrhydedd .
19:26:009:0	Na chascl vy enait y gyd a’r pechaturieit , na’m bywyt y gyd a’r gwyr gwaedlyt .
19:26:010:0	Yn-dwylaw yr ei [ y mae] scelerder , a’ei deheulaw ys yd yn llawn gobrae .
19:26:011:0	A’mi a rodiaf yn vy-gwiriondap : [ can hyny] pryn vi , a’ thrugará wrthyf .
19:26:012:0	Vy-troedd y sy yn sefyll yn yr vniondep : [ mi] ath clodvoraf , Arglwyðd , yny Cynnulleidfae .
