19:34:001:1	Psalm . xxxiiij .
19:34:002:1	¶ Benedicam Dominum .
19:34:001:0	DIolchaf ir Arglwydd bop amser : ei voliant [ vydd] yn vy-genae yn oystat .
19:34:002:0	Yn yr Arglwydd y bydd gorvoledd vy eneit : yr ei gostyngedic ei clyw , ac y lawenánt .
19:34:003:0	Mawrygwch yr Arglwydd gyd a mi , a’ derchafwn ei Enw y gyd .
19:34:004:0	Ceisiais yr Arglwydd , ac im gwrandawodd : ys , ef am gwaredawdd om oll ofn .
19:34:005:0	Wy edrychant arnaw , ac eu heglurir : a’ei wynepae ni chywylyddir [ gan ddywedyt , ]
19:34:006:0	Y tlawt hwn a lefawdd , a’r Arglwydd [ ei] clybu , ac oei oll drallote y gwaredawdd .
19:34:007:0	Angel yr Arglwydd a gastella o amgych yr ei y ofnant ef , ac eu gwared .
19:34:008:0	Chwaethwch a’ gwelwch , mor dda yw’r Arglwydd : gwyn ei vyd y gwr y ymddiriet iddo .
19:34:009:0	Ofnwch yr Arglwydd , y Sainct ef : can nad oes eisiae ar y yr ei y ofnant ef .
19:34:010:0	Y mae eisiae a’ newyn ar y llewod , a’r sawl y geisiant yr Arglwydd , ny bydd arnyn eisiae dim daoni .
19:34:011:0	Dewch veibion , gwrandewch arnaf : [ ys] dyscaf ychwy ofn yr Arglwydd .
19:34:012:0	Pwy yw’r gwr a chwenych vyw-yt , ac a gar [ hir] dyðiae y welet da ?
19:34:013:0	Cadw dy davot rac drwc , ath wefuse , rac dywedyt dichell
19:34:014:0	Ymwrthot ar drwc a ’gwna dda : ymgais a thangneddyf a’ dilyn ef .
19:34:015:0	Llygait yr Arglwydd ar yr ei cyfion , aei glustiae [ a ystyriant wrth] eu llefain .
19:34:016:0	Eythr wynep yr Arglwyð [ ys ydd] yn erbyn yr ei y wna ddrwc , y dori ei coffa y ar ddaiar .
19:34:017:0	Yr ei cyfion a lefant , a’r Arglwydd [ ei] gwrendy , ac ei gwared oei oll trallotion .
19:34:018:0	Agos yw’r Arglwydd at yr ei ys ydd a chalon gystuðedic , a’r ei briwedic o yspryt a gadw .
19:34:019:0	Llawer o ddrygeu [ a ddaw] i’r cyfion , a’r Arglwydd ei gwared ywrthynt oll .
19:34:020:0	Ef a gaidw ei oll escyrn : yr vn o hanwynt ny ddryllir .
19:34:021:0	Eithr drigioni a ladd yr andewiol : a’r ei y gasánt y cyfion a ddyffeithir .
19:34:022:0	Yr Arglwydd y bryn eneidiae ei weision : a’r ei oll a ymddiriedant ynthaw , ny ddyffeithir .
