19:140:001:1	Psalm . cxl .
19:140:002:1	Eripe me .
19:140:001:0	GWared vi Arglwydd rac y dyn drwc : cadw vi rac y gwr craulon .
19:140:002:0	Yr ei y vwriadant ddrigioni yn ei calon , [ ac] a wnant ryvel beunydd .
19:140:003:0	Golymesont ei tavodae val sarph : gwenwyn neidyr [ ys yd] y dan ei gwefusae . Selah .
19:140:004:0	Cadw vi , Arglwyð , rac dwylaw yr andewiol : achup vi rac y gwr craulon , yr ei sy aei bryd ar vachellu vytraet .
19:140:005:0	Cuddiawdd y beilchion vagl y-my , ac estennesont rwyt wrth danneu ar vy llwybyr , ac y ’osodesont hoynyneu ar fy medr . Selah .
19:140:006:0	[ Am hyny] y dywedais , wrth yr Arglwydd , Ti yw vy-Dew : clustymwrando , Arglwyð , a lleferydd vy-gweði .
19:140:007:0	Arglwydd Ddew nerth vy iechyt , toeist vy-pen yn-dyð brwydr .
19:140:008:0	Na ad , Arglwydd , ir andewiol gael ei ddeisyfiat : na chwpla ei veðwl enwir , [ rac] yddwynt valchiaw . Selah .
19:140:009:0	[ Ac am] y pennaf o hanynt , ’am cylchynant , dauet arnynt scelerder y gwevuseu y vnain .
19:140:010:0	Syrthiet marwor arnaddynt : tavlet ef hwy yn tan , [ ac] ir pydewe dyfnion , val na chyvotant .
19:140:011:0	Can ys dyn tavod [ gymysc] ny oystateir ar y ddaiar : y vall a hel y gwr traws y ddestruw .
19:140:012:0	Mi wn y dial yr Arglwyð y blinderawc , ac y barn y tlodion .
19:140:013:0	Ys y cyfiawnion y glodvorant dy Enw , [ a’r] ei vnion y drigiant ger dy vron .
