19:29:001:1	Psalm . xxix .
19:29:002:1	Afferte Domino .
19:29:001:0	ROwch i’r Arglwydd [ chwychwy] veibion penaethae : rhowch ir Arglwydd ’ogoniant a’ chadernit .
19:29:002:0	Dewch ir Arglwydd a gogoniant dledus yw Enw : addolwch yr Arglwydd yn y gogonet Gyssecr .
19:29:003:0	Llef yr Arglwyð [ ys y] ar y dyfredd : Dew y gogoniant y wna y taranae , yr Arglwydd [ ys ydd] ar y dyfredd mawrion .
19:29:004:0	Llef yr Arglwydd ys ydd alluawc , llef yr Arglwydd [ ys y] brydverth .
19:29:005:0	Llef yr Arglwydd y ddryllia y Cedriwydd : ys dryllia yr Arglwydd Cedriwydd Lebanon .
19:29:006:0	Ac ef wna yddwynt neidio mal llo : Lebanón a’ Shirión mal llwdn vnicorn .
19:29:007:0	Llef yr Arglwydd y’ohana y fflammae tân .
19:29:008:0	Llef yr Arglwydd y wna i’r diffaith ddecgrynu : yr Arglwydd a ddychryn ddiffeith Cadésch .
19:29:009:0	Llef yr Arglwydd a wna ir ewigot erthylu , ac a ddynoetha y coedydd : gan hyny yn ei Dempl pawp o’r eiddo a lefair [ ei] ’ogoniant .
19:29:010:0	Yr Arglwydd y eistedd ar y dilif , a’r Arglwydd y eistedd yn Vrenhin yn tragywyth .
19:29:011:0	Yr Arglwydd a rydd nerth y ew bopul : yr Arglwydd a vendithia ei bopul a thangneddyf .
