19:136:001:1	Psalm . cxxxvj .
19:136:002:1	Confitemini Domino .
19:136:001:0	CLodvorwch yr Arglwyð , can ys da ytyw , can ys ei drugaredd [ ’s ydd] yn tragyvyth .
19:136:002:0	Clodvorwh Ddew y dewiae : can ys ei drugaredd [ ys ydd] yn tragyvyth .
19:136:003:0	Clodvorwch Arglwydd yr arglwyddi : can ys ei drugaredd [ ys ydd] yn tragyvyth .
19:136:004:0	Yr hwn yn vnic y wna ryveðodae mawrion : can ys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:005:0	Yr hwn wrth [ ei] ddeall y wnaeth y nefoedd : can ys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:006:0	Yr hwn y estennawdd y ddaiar ar y dyfredd : can ys ei drugaredd [ ys ydd] yn tragyvyth .
19:136:007:0	Yr hwn y wnaeth leuereu mawrion : can ys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:008:0	Megis] yr haul y lywiaw y dydd : can ys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:009:0	Y lloer a’r syr y lywiaw y nos : can ys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:010:0	Yr hwn y drawodd yr Aipht a’r ei cyn-en it yddynt ( can ys ei drugaredd [ ys ydd] yn tragyvyth )
19:136:011:0	Ac y dduc Israel oi plith hwy , ( can ys ei drugaredd [ ys ydd] yn tragyvyth )
19:136:012:0	A llaw gadarn ac a braich estennedic : can ys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:013:0	Yr hwn y barthawdd y mor coch yn ddau barth : canys ei drugaredd [ ys ydd] yn dragyvyth :
19:136:014:0	Ac y wnaeth i Israel vyned trwy ei genol : can ys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:015:0	Ac a escutiodd Pharaóh ef a ei lu yn y mor coch : canys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:016:0	Yr hwn y dywysawdd ei bopvl drwyr diffeithwch : can ys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:017:0	Yr hwn a drawodd Vrenhinoedd mawrion : can ys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:018:0	Ac a laddawdd Vrenhinedd ardderchawc : can ys ei drugaredd [ ys ydd] yn dragyuyth :
19:136:019:0	[ Megis] Sichón Vrenhin yr Amoriait : can ys ei drugaredd [ ys ydd] yn dragyvyth :
19:136:020:0	Ac Og Vrenhin Bashán : can ys ei drugaredd [ ys ydd] yn dragyvyth :
19:136:021:0	Ac y roddess ei tir yn etiueddioeth : can ys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:022:0	[ Sef] yn etiueddiaeth y Israel ei was : can ys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:023:0	Yr hwn an coffáodd yn ein coddiant : can ys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:024:0	Ac an achubawdd rac ein gorthrymwyr : can ys ei drugaredd [ ys ydd] yn tragyvyth :
19:136:025:0	Yr hwn y rydd ymborth i bop cnawt : can ys ei drugaredd [ ys ydd] yn tragyvyth .
19:136:026:0	Clodvorwch Ddew y nefoedd : can ys ei drugaredd [ ys ydd] yn tragyvyth .
