19:116:001:1	Psalm . cxvj .
19:116:002:1	Dilexi quoniam .
19:116:001:0	CAraf yr Arglwydd , can yddaw erglywed vy lleferydd [ a’m gweddieu .
19:116:002:0	Can ys inclinawdd ef ei glust ataf , pan alwais [ arno] yn vy-dyðieu .
19:116:003:0	[ Pan] im cylchynent magleu angeu , ac im ceffynt govidieu y bedd : [ pan] gaffwn ing a’ thrymder ,
19:116:004:0	Yno y galwn at Enw yr Arglwyð , [ gan dywedyt] , atolwc yt’ , Arglwydd gwared vy enait .
19:116:005:0	Trugarawc yw’r Arglwydd a’chyfiawn , a’ ein Dew ’syd yn llawn tosturi .
19:116:006:0	Ys caidw yr Arglwydd y rei seml : bum mewn advyd , ac ef am diangawdd .
19:116:007:0	Ymchwel â vy eneit , ith ’orffwysfa : can ys yr Arglwyð a vu dda wrthyt ,
19:116:008:0	O bleit yti wared vy eneit rhac angae , vy llygait rac daigrae , a’m traet rac cwympo .
19:116:009:0	Rodiaf rhac bron yr Arglwydd , yn-tir y bywion .
19:116:010:0	Credais , ac am hyny y llavarwn : can ys im cystuðuddiwyt yn ddirvawr .
19:116:011:0	Mi ddywedwn yn vy ffrwst , Pop dyn ’sy gelwyddawc .
19:116:012:0	Pa beth a roddaf ir Arglwydd , am ei oll ddonieu y-mi ?
19:116:013:0	Phial iechyt a gymeraf , ac ar Enw yr Arglwydd y galwaf .
19:116:014:0	Vy eddunedae y dalaf ir Arglwydd , [ ys] yr owrhon yn-gwydd ei oll popul .
19:116:015:0	Gwerthvawr yn-golwc yr Arglwydd [ yw] angae y Sainct ef .
19:116:016:0	Wely Arglwydd : can ys dy was wyf , dy was ytwyf . a’ map dy wasanaethwraic : atdodeist vy rrwymeu .
19:116:017:0	Aberthaf yty aberth moliant , a’ galwaf Enw yr Arglwydd .
19:116:018:0	Vy eddunedae y dalaf ir Arglwydd , [ ys] yr owrhon yn-gwydd ei oll popul ,
19:116:019:0	Yn neuaddae tuy yr Arglwyð , [ ys] ith pervedd di Caerusalem . Molwch yr Arglwydd .
