19:42:001:1	Psalm . xlij .
19:42:002:1	Quemadmodum desiderat .
19:42:001:0	MAl y bref yr hydd am avonydd dyfredd , velly y llefain vy enait am danat’ Ddew .
19:42:002:0	Sychedai vy enait am Ddew , [ ys] am y Dew byw : pa bryd y dauaf ac ydd ymddangosaf yn-gwydd Dew ?
19:42:003:0	Vy-daigre ytoedd yn vwyt ymy ddydd a’ nos , tra ddywedit wrthyf beunyð , P’le y mae dy Ddew ?
19:42:004:0	Pan veddyliwn hyn yma , ys tywalldwn vy eneit y wrthyf , can ymy vyned y gyd a’r dorf , a’u harwein hwy yd tuy ’r Arglwyð , gan lef caniat , [ a’] moliant [ val] lliaws yn gwledda .
19:42:005:0	Paam ith vwrir y lawr , vy enait , ac yr aflonyddy ynof ? dysgwyl wrth Ddew : can ys etwo y diolchaf yðaw am borth ei wynep .
19:42:006:0	Vy-Dew , vy enait a vwriwyt y lawr o’m mewn , can y my dy goffa , o dir Iorðanen , a Hermonim [ ac] o vynyth Mitsar .
19:42:007:0	[ Sef] eigiawn a ymoralw am eigiawn gann lais dy ddyfr-bistillieu : dy oll donhae ath ystormydd aethant drosof .
19:42:008:0	Yr Arglwydd a ganiatá ei garedicrwydd anianawl y dydd , a’r nos y canaf o hanaw , [ ’sef] gweddi ar Ddew vy-bywyt .
19:42:009:0	[ Ys] dywedaf wrth Ddew [ rhwn yw] vy craic , Paam im gollyngaist yn angof : paam y ddaf yn dwyn alar , pan vo’r gelyn [ im] gorthrymu ?
19:42:010:0	Vy escyrn a leddir tra vo vy-gelynion im gwartháu , gan ddywedyt wrthyf baunydd , P’le mae dy Ddew ?
19:42:011:0	Paam ith vwriwyt y lawr vy eneit ? a’ ph’am ith aflonyddir o’m mewn ?
19:42:012:0	Dysgwyl wrth Ddew : can ys etwo y diolchaf yddaw am vot yn borth ym’ gerllaw , ac yn Ddew ymy .
