19:56:001:1	Psalm . lvj .
19:56:002:1	Miserere mei Deus quoniam .
19:56:001:0	TRugará wrthyf Ddew , can ys dyn am llyncai : peunydd yr ymlaðd ac im gorthryma .
19:56:002:0	Peunydd im llwnc vy-gelynion : can ys llaweredd ys ydd yn ymladd im erbyn , y Goruchaf .
19:56:003:0	Y dydd yr ofnwn , mi a ymddiedwn yno-ti
19:56:004:0	Yn-Dew y bydd vy-gorvoledd , [ o bleit] ei air , yn-Dew y gybeithiaf [ ac] nyd ofnaf pa wnel cnawd y-my .
19:56:005:0	Peunydd im cystuddia vy-geirieu : eu holl veddylieu ys ydd im erbyn er drwc y-my .
19:56:006:0	Y maent yn ymgydgascly , [ ac] yn llechy : y maent wy yn cadw vy olion , can yddynt ddysgwyl am vy enait .
19:56:007:0	[ Mae ’n hwy yn tybiet] y diangant wrth enwiredd : Dew , yn [ dy] lit descen y bopuloedd [ hyn . ]
19:56:008:0	Vy ysmutiatae a gyfrifes ti : dod vy-daigrae yn dy botel : anid ytynt yn dy lyvr ?
19:56:009:0	Y dydd y llefwyf , yno y dychwelir vy-gelynion y’w gwrthgarn : hyn a wnn , erwydd bot Dew gyd a mi .
19:56:010:0	Yn-Dew y bydd vy-gorvoledd [ o bleit ei] ’air : yn yr Arglwydd y bydd vy-gorvoledd o bleit ei ’air .
19:56:011:0	Yn-Dew y ymddiriedaf : nyd ofnwyf pa wnel dyn ymy .
19:56:012:0	Ar na vi , Ddew , [ y mae] dy eddunedae : talaf ddiolwch y-ty .
19:56:013:0	Can ys gwaredeist vy enait rac angae , am traed hefyt rac cwympo , val y rhodiwyf geyr bron Dew yn-goleuni y bywion .
