19:40:001:1	Psalm . xl .
19:40:002:1	Expectans expectaui .
19:40:001:0	DDysgwiliais yn ddyfal am yr Arglwydd , ac ef y ostyngawð [ ei glust] ataf , ac a glywoð vy llefain .
19:40:002:0	Ac ef am cyfodes a’r pytew anhygyrch , allan o’r prið tomlyd , ac e osotes vy-traet ar y graic , ac y hwyliodd vy-cerddet .
19:40:003:0	Ac e ddodes yn vy-genae ganiat newydd , o voliant i’n Dew : llawer ei gwyl ac y ofnant , ac ymddiriedant yn yr Arglwydd .
19:40:004:0	Gwyn ei vyt y gwr y gynner yr Arglwydd yn ei ymddiriet , ac ny wyneba at y beilchion , nac at yr ei a ðychwelant at gelwydd .
19:40:005:0	[ Mor] lliosawc , Arglwydd vy-Dew y gwnaethost dy ryvedd-wedithredoedd , val na vedr neb iawn draethu yty dy veddylieu erom : menagaf a llafaraf [ am danynt , ] anyd eu bot yn vwy nac ’allaf eu hadrodd .
19:40:006:0	Aberth ac offrwm ny’s wyllyseist ( [ anyd] vy-clustiae y egoreist ) poeth aberth ac aberth dros pechat ny ’ovyneist
19:40:007:0	Yna y dywedais , Nycha y deuthym : [ canys] yn rról y llyver ydd escrivenwyt am danaf .
19:40:008:0	Pucheis wneuthyr dy wyllys , vy-Dew , ’sef dy Ddeddyf ysy ovewn vy-calon .
19:40:009:0	Manegeis dy gyfionder yn y Gynnulleidva vawr : wele , ny oharddaf vy-gwefusae : Arglwydd ti wyddost .
19:40:010:0	Ny chuddieis dy gyfiawnder o vewn vy-calon , [ eithyr] llavarais dy wirioneð a’th iechyt : ny chelais dy drugareð ath wirionedd rac y Gynnulleidva vawr .
19:40:011:0	Tithe Arglwydd nac attal dy drugareddeu y wrthyf : [ poet] dy dosturi ath wirionedd byth am catwo .
19:40:012:0	Can ys drygae aneirif am cylchynesont : vy-pechotae a ymavaelesont ynof mor gerth , mal na allaf edrych : ac y maent yn amlach na blew vy-pen , am hyny y pallawð vy-calon .
19:40:013:0	Wyllysia Arglwydd vy-gwaredy : brysia Arglwydd im cypporth .
19:40:014:0	Cywilyddier a’ gwradwydder y gyd , yr ei y geisiant vy enait y ei ddivetha : gyrrer drach [ ei] cefn a’gwarthaer yr ei y wyllysient drwc ymy .
19:40:015:0	Dyffeithier dros ’obr ei cywilydd , yr ei y ddywetant wrthyf , Haha , haha .
19:40:016:0	Ymlawenhant a’ byddan hyfryd ynot’ yr oll rei ath geisiant : a’r ei y gar dy iechyt , dywedant yn oystat , Mawryger yr Arglwydd .
19:40:017:0	Cyd bwyf vi dlawd a’ rhaidus y mae yr Arglwydd yn meddwl am danaf : ti yw vy-porth , a’m prynwr : vy-Dew na hwyrá .
