19:58:001:1	Psalm . lviij .
19:58:002:1	Si vere vtique iusticiam .
19:58:001:0	AI gwir yw ? â Gynnulleidva , a ddywedw-chwi yn gyfiawn ? â veibion dynion [ a] ytych yn barnu yn vnion ?
19:58:002:0	Sef ydd ych yn bwriady enwiredde yn eich calon : ar y ddayar ymae eich dwylo yn gwneuthur trawsinep .
19:58:003:0	Yr andewiolion ysy estronieit o’r bru : [ ys] o’r boly y cyfeiliornent , ac y dywedent gelwydd .
19:58:004:0	Ei gwenwyn ys ydd yn gyffelip y ’wenwyn sarph : megis y neidr vyddar [ rhon] a gae ei chlustieu .
19:58:005:0	Yr hon ny chlyw lef y swynwyr er cyfrwyddet vo mewn rrinieu .
19:58:006:0	Deo , dryllia ei dannedd yn ei genae : mysca gerneu cenawon y llewot , Arglwydd .
19:58:007:0	Toddant val y dwfredd , ant ymaith : pan saetho ei sae=saethae , [ byddant] val pe torit .
19:58:008:0	Aet pop vn o hanynt vegis malwen y dawð , [ a’megis] peth anhemhic , i wreic ar ny welawdd haul .
19:58:009:0	Megis y clyw cic ambrwd cyn eych crochaneu y [ tân] drain : [ velly] bid yðo y dwyn hwy ymaith yn y [ ei] ðig .
19:58:010:0	Y cyfiawn vydd llawen pan welo y dial : ef olch ei draet yn-gwaet yr andewiol .
19:58:011:0	Ac [ yno] y dywait dynion , Ys diau yw bot ffrwyth ir cyfiawn : diogel yw bot Dew rhwn ysy yn barny ar y ddaiar .
