19:48:001:1	Psalm . xlviij .
19:48:002:1	Magnus Dominus .
19:48:001:0	MAwr yw’r Arglwydd , a’ thra molianus , yn dinas ein Dew , [ ys] ar ei vynyth santaið
19:48:002:0	[ Ys] prydverth o le [ yw] mynyth Tsijon [ sy] yn-tuedd y Gogledd : llewenyð [ ytyw] i’r oll ddaiar , [ a’] dinas y Brenhin mawr .
19:48:003:0	Yn ei llysoedd yr adweinir Dew yn noddva .
19:48:004:0	Can ys wely , y Brenhinedd y gydymgasclasant , ac aethant ynghyt .
19:48:005:0	Pan welsont , [ ys] rryvedd vu ganthwynt : echrynesont , [ ac] eu tra gwethladwyt .
19:48:006:0	Ofn y ddaeth arnynt yno , [ a’] gofid , val ar wraic wrth=escor plentyn .
19:48:007:0	Megis a gwynt Dwyrein y drylly longae Tarschisch , velly darvu eu dinistrio .
19:48:008:0	Megis y clywsam , velly y gwelsam yn-Dinas Arglwyð y lluoedd , yn-dinas ein Dew : Dew hei ffyrfá yn tragywydd . Sélah .
19:48:009:0	Dysgwyl ydd ym â Ddew dy drugarogrwydd , ympervedd dy Templ .
19:48:010:0	A ðew , megis dy Enw , velly y mae voliant yd dyben byt : dy ddeheulaw ys yd yn llawn cyfiawnder .
19:48:011:0	Llawenhaet mynydd Tsijon , a’bit hyfryt merchet Iudáh , o bleit dy varneu .
19:48:012:0	Amgylchynwch Tsijon a’ chompeswch hi , a’ rhivwch hi thyrae .
19:48:013:0	Deliwch yn graff ar hi magwyr : edrychwch ar hi thyrae , mal y galloch venegy ir genedlaeth y ddel yn ol .
19:48:014:0	Can ys y Dew hwn yw’n Dew ni yn oes oesoeð : efe , vydd ein tywysawc yd angae .
