19:88:001:1	Psalm . lxxxviij .
19:88:002:1	Domine Deus salutis .
19:88:001:0	ARglwydd Ddew vy iechyt , ys llefain ydd wyf ddydd a’nos ger dy vron .
19:88:002:0	Dauet vy gweddi ger dy wynep : gestwng dy glust at vy llevain .
19:88:003:0	Can ys cyflawnwyt vy eneit o ddrygeu , a’m bywyt ’sy yn nesáu ir vedrot .
19:88:004:0	Im cyfrivir y gyd a’r ei ’n ’sy yn descen [ ir] pwll , [ ac] wyf val gwr eb nerth :
19:88:005:0	Sef yn rydd ym-plith y meirw , megis y lladdedigion yn gorwedd yn y bedd , yr ei ny chofféy mwy , ac eu torwyt ymaith ywrth dy law .
19:88:006:0	Dodeist vi yn y pytew isaf , yn-tywyllwch [ ac] yn yr eigiawn .
19:88:007:0	Arnaf y gorwedd dy ddiglloneð , ac ath oll done’ [ im] cystuddieist . Selah .
19:88:008:0	Pelléeist [ hwnt] vy-cydnabot y wrthyf , [ ac] im gwnaethost yn dremic ganthynt : im goarchaywyt , val nad elwyf allan .
19:88:009:0	Vy llygat a ddoluria gan vy-poen : Arglwydd , galwaf arnat beunydd : estennaf vy-dwylaw arnat .
19:88:010:0	A ddangosy ryveddodae ir meirw ? [ ai] a gyfyd y meirw ath glodvory ? Sélah .
19:88:011:0	A ddatcenir dy drugaredd yn y bedd ? a’th ffyddlondab yn-cyfergoll ?
19:88:012:0	A adwaenir dy ryveddodae yn y tywyll ? a’th gyfiawnder yn-tir angof ?
19:88:013:0	A’mi lefais arnat , Arglwydd , a’borae y daw vy-gweddi oth vlaen .
19:88:014:0	Arglwydd , paam y gwrthðody vy eneit , [ ac] y cuddy dy wynep y wrthyf ?
19:88:015:0	Ys truan ytwyf , ac ar drangedigaeth : o’m ieuntit y dyoddefeis dy ofnion , gan bedruso [ om ’einioes . ]
19:88:016:0	Ar vyuchaf y trawenynt dy sorianteu , a’th ofn am torawdd ymaith .
19:88:017:0	Daethant beunydd om amgylch mal dwfyr , ac am cylchynesant y gyd .
19:88:018:0	Vy-cereint a’m cymddeithion y belléeist y wrthyf , a’m cydnabot a ymguddiant .
