19:39:001:1	Psalm . xxxix .
19:39:002:1	Dixi custodiam vias .
19:39:001:0	MEddyliais Cadwaf vy ffyrdd , rac [ ymy] pechy a’m tavawt : catwaf vy-geneu yn-goarchae , tra vo yr andewiol yn vy-golwc .
19:39:002:0	Mut oeddwn eb ddywedyt dim : dysteweis , [ ys] rac da , a’m dolur a gyffróit .
19:39:003:0	Gwresogawd vy-calon o’m mewn , [ a’] thra oeddwn yn mevyrio y cynneuawdd y tan , [ ac] or dywed y dywedais am tavot .
19:39:004:0	Arglwydd moes i mi wybot vy-diwedd , a’ niver vy=dyddiae , pa ’sy : moes ym’ wybot pa oes ys ydd ymy .
19:39:005:0	Nycha ys gwneythost vy-dyddiae [ mal] dyrnvedd , a’m einioes val diddim wrth y ti : ys cwbl-wagedd yw stat pop dyn . Selah .
19:39:006:0	Eithyr dyn a rodia yn-gwascot , ac a ymdraffertha yn ouer : ef a dyra [ ’olud , ] ac ny ys gwyr pwy ei casgyl .
19:39:007:0	Ac yr owrhon Arglwydd , pa ddysgwiliaf ? vy-gobaith ys ydd ynot’ .
19:39:008:0	Gwared vi o’m oll gamweddae , ac na ddod vi yn warthrudd i’r ynvyd .
19:39:009:0	Aethym yn vut , ac nyd agoreis vy-genae , can y-ti ei ’wnaethur .
19:39:010:0	Cymer y wrthyf dy bla : gan ymfust dy law y cystuddiais
19:39:011:0	Pan wyt drwy geryddon yn cospi dyn am enwiredd , [ ys] val pryf y gwney y brydverthwch ef ddarvot : diau mae gwagedd [ yw] pop dyn . Sélah .
19:39:012:0	Clyw vy-gweddi Arglwydd , a’ chlustymwrando a’m llefain : na vydd ddystaw wrth vy-deigr , can ys pererin wyf gyd a thi , [ a’] thrigianwr val vy oll tadeu .
19:39:013:0	Paid [ ath lid] wrthyf , val y cryfáwyf , cyn vy myned ac na byddwyf ,
