19:28:001:1	Psalm . xxviij .
19:28:002:1	¶ Ad te Domine clamabo .
19:28:001:0	ARnati , Arglwydd , y llefaf : vy nerth , na vyð ddystaw y wrthyf , rhac ad ystewy di , im cyffepylyber yr ei y ddescen ir pwll .
19:28:002:0	Erglyw lef vy=gweddion pan lefwyf arnat , pan dderchafwyf vy=dwylo parth a dirgelfa dy sancteiddrwydd .
19:28:003:0	Na thynn vi y gyd a’r andewiolion , a’ chyd a’r ei y wwnant enwiredd , yr ei ddywedant yn garedigol wrth ei cymydogion , ac a drwc yn ei calon .
19:28:004:0	Dyro yddwynt yn ol ei gweithred , ac yn ol drugioni ei dychymigion : dod yddwynt yn ol gweithred ei dwylo , adver yddwynt yn ol gweithred ei dwylo , adver yddwynt ei taliat .
19:28:005:0	Can nad ynt yn myny deall gweithredeð yr Arglwydd , na gwaith ei ddwylo : [ am hyny y dryllia ef hwy ir llawr , ac nyd adeilad hwy [ mwyach . ]
19:28:006:0	Bendigeit [ vo’r] Arglwydd , can ys clybu lef vy gweddiae .
19:28:007:0	Yr Arglwydd [ yw] vy nerth am tarian : ynthaw yð ymddiriedawdd vy=calon , ac im cymporthwyt : erwydd hyny y llawenycha vy=calon , ac ar vy-cán y clodforafef .
19:28:008:0	Yr Arglwydd yw y nerth hwy , ac efe yw cedernit gwaredeu ei enneiniawc .
19:28:009:0	Gwared dy popul , a’ bendithia dy etiueddiaeth : pasc wy hefyt , a’dercha wy yn oes oesoedd .
