19:71:001:1	Psalm . lxxj .
19:71:002:1	In te Domine speraui .
19:71:001:0	YNaw ti , Arglwydd , yr ymddiriedais , na’m cywilyddier yn dragywydd .
19:71:002:0	Achub a’ gwared vi yn dy gyfiawnder : gogwyða dy glust ataf , a’ chadw vi .
19:71:003:0	Byð y my yn graic cadarn , val y gallwyf gyrchy yddi yn wastad : gorchymynnaist vy-cadw , can ys ti yw vy maendy a’m castell .
19:71:004:0	Gwared vi vy-Dew , o law yr enwir : o law y drugddyn a’r craulon .
19:71:005:0	Can ys ti yw ve-gobaith : Arglwydd Ddew , [ ys] ve gobaith o’m ieuntit .
19:71:006:0	Wrthy-ti im cynhaliwyd o’r bru : ty di am cymerth allan o emyscaroeð vy mam : vy moliant vydd yn oystat o hanot’ .
19:71:007:0	Mi euthym val angenvil i lawer : eithr ti yw vy cadarn ymddiriet .
19:71:008:0	Cyflawner vy-genau ath voliant , [ a’] [ phop] dydd oth ’ogoniant .
19:71:009:0	Na vwrw vi ymaith yn amser henaint : na ad vyvi pan yw vy nerth yn pally .
19:71:010:0	Can ys vy-gelynion a ddywedant am danaf , a’r ei a vwriadant [ ddrwc] im enaid , a ymgynghorant ynghyt ,
19:71:011:0	Gan ddywedyt , Dew y gadawdd ef : erlidiwch a’ deliwch ef , can nad oes neb [ ai [ gwaredo .
19:71:012:0	Dew nac ymbellá o ddiwrhyf , ve-Dew brysia i’m cymporth ,
19:71:013:0	Gwradwydder a divancoller yr ey s’yn erbyn vy enayd : toer a gwarth ac a gwradwydd yr ey a geisiant ddrwc y-my .
19:71:014:0	A’ mi ddysgwiliaf yn wastad , ac ath volaf vwy-vwy byth .
19:71:015:0	Vy-genau a venaic beunydd dy gyfiawnder , [ ath] iechydwrieth : can na wnn [ ei] rrivedi .
19:71:016:0	Af rhagof yn nerth yr Arglwydd Ddew , ac a goffáf am dy gyfiawnder , [ ys] am y taudi yn vnic .
19:71:017:0	Dew dysceist vi o’m ieuntit yd y pryd hyn : am hynny] y menagaf dy ryfeddodau .
19:71:018:0	Ac ys hyd henaint a’ phenllwydeð , á Ddew : na’ad vi , yn y venagwyf dy vraich ir genedleth [ hon] , ath allu ir oll ’rei a ddelont .
19:71:019:0	Ath gyfiawnder , Ddew , [ a dderchafaf] yn vchel : cans gwnaethost bethau mawrion : Dew pwy’ sy debic y-ty ?
19:71:020:0	Yr hwn a ddangosaist y-my drallodau lawer a’ drugion , [ eithyr] ti ymchweli ac am bywéi vi , ac a ddaui drachefn , ac am cymery i vyny o eigion y ddayar .
19:71:021:0	Ti amléi vy mawredd , ac ymchwely i’m diddanu .
19:71:022:0	Cann hynny ith volaf [ am] dy wirionedd , Ddew , ar gerdd danneu : canaf y-ty ar y delyn , [ tydi [ Sanct yr Israel .
19:71:023:0	Hyfryd vydd gan vy-gwefusau pan ganwyf y-ty , a’m enaid’ yr hwn a waredaist .
19:71:024:0	Vy-tafod hefyd a’ madrodd oth gyfiawnder beunydd : cann ys gwradwyddir a’ chywylyddir , yr ei a geisiant ddrwc y-my .
