19:32:001:1	Psalm . xxxij .
19:32:002:1	Beati quorum .
19:32:001:0	GWyn ei vyd [ y nep] y maddewyt ei drosedd , [ a’r] nep y cuddiwyt ei bechot .
19:32:002:0	Gwyn ei vyd y dyn ny liwio ’r Arglwydd yddo enwireð , ac ny [ bo] dichell yn ei yspryt .
19:32:003:0	Tra dáwn a son , y cystuddiawdd vy escyrn [ neu] pan nadwn yn hyd y dydd .
19:32:004:0	( Can ys trwm dy law arnaf , ddydd y’ nos : [ a’]m irder a ymchwelwyt yn sychder haf . Sélah . )
19:32:005:0	[ Yno] y cydnabyddais , vy=pechot wrthyt , am enwiredd ny chuddiais : [ can ys] dywedais , Coffessaf yn v’erbyn vy vn vy enwireddeu ir Arglwydd , a’ thi a vaddeuaist boen vy=pechot . Sélah .
19:32:006:0	Ac am hyny y gweðia pop dyn dywiol arnat , yn yr amser ith ceffir : eithyr yn llifeiriant dyfredd mawrion ny chahant ddynesay ataw .
19:32:007:0	Ti yw vy=dirgelfa , cedwy vi rac ing : amgylchyni vi ac ymwared gorvoledd . Sélah .
19:32:008:0	Paraf yty ddyall , ac ath ddyscaf yn y ffordd ydd elych , ac [ ath] fforddiaf a’m llygat .
19:32:009:0	Na vyddwch val march [ neu] vul ny deallant : yr ei attely y gen a gwenva ac a ffrwyn , rac yðyn ðynesau atat’ .
19:32:010:0	Llawer gouit [ vydd] ir andewiol : a’r nep y ymddirieto yn yr Arglwydd , trugaredd ei cylchyna .
19:32:011:0	Byddwch lawen yr ei cyfion , a’ hyfryd yn yr Arglwyð , a’ chlodvorwch yr oll ’r ei vnion o galon .
