19:97:001:1	Psalm . xcvij .
19:97:002:1	Dominus regnauit .
19:97:001:0	YR Arglwydd a deyrnasa : bid hyfryd y ddaiar , llawenhaet llawer ynys .
19:97:002:0	Wybre a’ thywyllwch [ ys ydd] o ei amgylch ef : cyfiawnder a’ barn [ yw] sail ei eisteddva .
19:97:003:0	Ef aá tân oei vlaen ef , ac a boetha ei ’elinion o y amgylch .
19:97:004:0	Llewychawdd ei vellt i’r byt , gwelawdd y ddaiar , ac y ofnawdd .
19:97:005:0	Y mynydde val cwyr y doddesont rac wynep yr Arglwydd , rac wynep Arglwydd yr oll ddaiar .
19:97:006:0	Y nefoedd a venagant y gyfiawnder ef , a’r oll populoedd y welant ei ’ogoniant .
19:97:007:0	Gwradwyðer y sawl oll y addolant ddelwae cerviedic , [ ac] ys y ei gorvoledd yn idolon : addolwch ef yr oll ddywiae .
19:97:008:0	Tsijón a glywodd , a’llawenechawdd : a’ merchet Iudáh vu hyfryt , o bleit dy varnion , Arglwydd .
19:97:009:0	Can ys ti Arglwydd wyt oruchaf ar yr oll ddaiar : ith tradderchefir uch law yr oll ddewiae .
19:97:010:0	Yr ei y gerwch yr Arglwydd , casewch ddrwc : efe ’sy yn cadw eneidiae ei Sainct : ef ei gwared o law yr andewiolion .
19:97:011:0	Heuwyt llewych ir cyfiawn , a’ llawenydd i’r ei vnion o galon .
19:97:012:0	Ymlawenhewch yn yr Arglwydd ’yr ei cyfion , a’ chyfaddefwch y’w goffa sanctaidd .
