19:7:001:1	Psalm . vij .
19:7:002:1	¶ Domine Deus meus .
19:7:001:0	ARglwydd vy-Duw , ynot’ ydd ymddiriedeis : cadw vi rac vy oll erlidwyr , a’gwared vi .
19:7:002:0	Rac iddo dreisio vy eneit val lleo , a’ei rwygo , pryd na bo gwaredwr .
19:7:003:0	A Arglwydd vy-Duw a’s gwneythym y peth hyn : ac ad oes enwiredd yn vy-dwylaw .
19:7:004:0	A’s telais ddrwc ir nep oedd mewn tangneddyf a mi , ( a mi waredeis y nep oedd im cystuddio ynðiachos )
19:7:005:0	Poet erlidio y gelyn vy eneit a’ daliet : sathred hefyt vy bywyt ir llawr ar y ddaiar , a dodet vy-gogoniant yn y llwch . Selah .
19:7:006:0	Cyuod , Arglwydd , yn dy ddigllonedd , ymddercha yn erbyn bar vy-gelynion , a’ deffro trosof [ erwydd] y varn [ y] orchymyneist .
19:7:007:0	Velly ith amgylchyna cynnulleidfa populoedd : ac er ei mwyn ymchwel ir vchelder .
19:7:008:0	Yr Arglwydd y varn y boploedd : barn vi Arglwydd , yn ol vy-cyfiawnder , ac yn ol vy-gwiriondep [ ys ydd] yno’f .
19:7:009:0	Dervit bellach am enwiredd yr andewiolion : eithr cyfrwydda di y cyfiawn , canys y Duw cyfiawn a brawf y calonheu a’r areneu .
19:7:010:0	Vy amddeffen [ ys y] ar Dduw , yr hwnn a geidw yr ei vnion o galon .
19:7:011:0	Duw a varn y cyfiawn , a’hwn a dremic Dduw bop dyð .
19:7:012:0	Addyeithr yddo ymchwelyt , ef a hogawdd ei gleddyf : ef enylodd ei vwa ac ei paratoawdd .
19:7:013:0	Ac ef a baratoadd yddo arvae angae : ef a weithia ei saethae i’r ei a’m erlidiant .
19:7:014:0	Wele , ef escorawdd [ ar] enwiredd canys : ef a ymdduc scelerder , ac ef a enir yddo gelwydd .
19:7:015:0	Efe wnaeth bwll ac ei cloddiawdd , ac’e ddygwyddawdd yn y ffos a wnaethoeddoedd .
19:7:016:0	Ei waith a ymchwel yn ei ben ehun , a’i greulonedd a ddescen ar ei gopa ehun .
19:7:017:0	Mi glodvoraf yr Arglwyð yn ol ei gyfiawnder , ac a canmolaf Enw yr Arglwydd goruchaf .
