19:147:001:1	Psalm . cxlvij .
19:147:002:1	Laudate Dominum .
19:147:001:0	MOlwch yr Arglwydd , can ys da yw canu y ein Dew : O bleit peth hyfryd yw , a’ phrydverth yw moliant .
19:147:002:0	Yr Arglwydd ’sy’n adaliat Caerusalem ac yn casclu goyscaredigion Israel .
19:147:003:0	Ef iachaa yr ei briwedic o ga . lon , ac e rwym ei gwelieu .
19:147:004:0	E a gyfrif rivedi y ser , ac ei galw oll erbyn ei h’enwae .
19:147:005:0	Ys mawr [ yw] ein Arglwydd , a’ mawr [ yw ei] veddiant : ys anneirif ei ddwethinep .
19:147:006:0	Yr Arglwydd y ddercha yr ei gwâr ac e estwng yr andewolion yd y llawr .
19:147:007:0	Cenwch ir Arglwydd gan glodvoreð : cenwch y ein Dew ar y delyn .
19:147:008:0	Yr hwn y doa y nefoeð ac wybrae , ac y baratoa y glaw ir ddaiar , ac a bar ir gwellt dyfu ar y mynyddeu :
19:147:009:0	Yr hwn y rydd ir yscrybyl ei borthiant , [ ac] y adar y gigvran y lefant .
19:147:010:0	Nyd oes ewyllys ganthaw yn nerth march , ac nyd yw yn ym hoffi yn esceiriae gwr .
19:147:011:0	Eithr hoff gan yr Arglwyð yr ei y ofnant ef , ac ymddyriedant yn ei drugaredd .
19:147:012:0	Mola yr Arglwydd , Gaerusalem : mola dy Ddew tSijón .
19:147:013:0	Can ys cadarnáodd ef drosolion dy byrth , [ ac] y vendithiawdd dy blant oth vewn .
19:147:014:0	Efe sy’n dodi tangneddyf ith gyffinydd , [ ac] ith ddiwallu a blonec gwenith .
19:147:015:0	E ddanvon ei orchymyn ar y ddaiar , [ a’] ei’air y red yn dra buan .
19:147:016:0	Efe ’sy’n rhoi eiry val gwlan , [ ac] yn goyscaru y llwydrew val llutw .
19:147:017:0	E davl ei ia val tameidiae : pwy all aros [ rhac] ei oerder ?
19:147:018:0	Yd envyn ef ei air , ac ei tawdd hwy : e bar yw wynt chwythu , [ a’r] dyfredd y lifant .
19:147:019:0	Menaic ef ei ’air i Iaco , ei gynneddfae a’ ei varneu , y Israel .
19:147:020:0	Ny wnaeth ef velly a phop cenedl , ac nyd adnabuont ei varueu . Molwch yr Arglwydd .
