19:141:001:1	Psalm . cxlj .
19:141:002:1	Domine clamaui .
19:141:001:0	ARglwydd , arnat y galwaf : brysia attaf : clustymwrando am llais , pan lefwyf arnat .
19:141:002:0	Cyfeirier vy-gweddi yn dy olwc [ val] mugdarth , [ a’] derchafiat vy-dwylaw [ mal] gosper aberth .
19:141:003:0	Gosot , Arglwydd , gadwadaeth o vlaen vy-genae , a’ chadw ddrws vy-gwefusae .
19:141:004:0	Nac inclina vy calon y beth [ drwc] , y wneuthur gweithredeð enwir gyd a dynion y weithredant enwiredd : ac na vwytawyf o’u prydverthwch .
19:141:005:0	Trawet y cyfiawn vi : can ys llesiant yw : ac argyoeddet vi : ac oleo gwerthvawr vydd ’rhwn ny ddrylla vy-pen : can ys ar hynt y gweddiaf yn y govidieu hwy .
19:141:006:0	Y barniait hwy a davlir ylawr yn y lleoedd caregawc , ac a glywant vy-gairieu , can ys melus ynt .
19:141:007:0	Y mae ein escyrn ar ’oyscar ar vin y bedd , megis vn yn tori [ coet] neu yn cloddiaw yn y ddaiar .
19:141:008:0	Eithyr arnati , Arglwydd Ddew , [ yr edrych] vy llygait : y not y mae v’amddiriet : na thywallt vy eneit .
19:141:009:0	Cadw vi rrac y magyl , [ y] osodesont ymy , a’ rac hoy nyneu gweithredwyr andewioldep .
19:141:010:0	Cwympent yr andewolion y’w rwydeu ynghyt , tra elwyf [ vi] heibio .
