19:76:001:1	Psalm . lxxvj .
19:76:002:1	Notus in Iudea .
19:76:001:0	E Adweinir Dew yn Iudáh : mawr [ yw] ei Enw yn Israél .
19:76:002:0	Can ys yn Shalem y mae ei Bebyll , a’i drigva yn Tsijon .
19:76:003:0	Yno drylliawdd ef saethae y bwa , y tarian , a’r cleddyf , a’r vrwydyr . Sélah .
19:76:004:0	Ys mwy dysclaer wyt a’ chadarn , na mynyddedd yr yspeil .
19:76:005:0	Espeiliwyt yr ei drud galon : hunesant ei hun , a’r oll wyr nerthawc ny vedresont ar ei dwylaw .
19:76:006:0	Gan dy gerydd Ddew Iaco , y dyguscawdd ŷs y marchoc a’r march .
19:76:007:0	Ti , ys ti y ofnir : a’ phwy a saif yn d’olwc , pan vych dicllawn ?
19:76:008:0	Pereist wrando [ dy] varn o’r nefoedd : [ am hyny] yr ofnawdd y ddaiar a’ dystawodd .
19:76:009:0	Pan gyfodest’ , Ddew , y varn , y ymwared oll rei gostyngedic y ddaiar . Sélah .
19:76:010:0	Can ys cyndaredd dyn a ddaw yn voliant y ti : a’ relyw y gyndðaredd y oystegy .
19:76:011:0	Eðunwch a’ chwplewch i’r Arglwyð eich Dew , pawp ys ydd o ei amgylch : ducant anregion ir ofniawdr .
19:76:012:0	Ef y wrthladd yspryt tywysogion , ofnadwy yw ef y Vrenhinedd y ddaiar .
