19:143:001:1	Psalm . cxliij .
19:143:002:1	Domine exaudi .
19:143:001:0	ARglwydd , clyw vy-gweddi , [ a’] chlustymwrando am glochwyt : erglyw vi yn dy wirionedd a’th gyfiawnder .
19:143:002:0	( Ac na ddoes i varn ath was : can ys yn dy olwc ny chyfiawnir nebun byw )
19:143:003:0	Can ys y gelyn a erlidiawdd vy eneit : trawodd ef vy-bywyt yd y ddaiar : gesodawdd vi yn y tywyllwch , val yr ei vysei vairw ys talm byt .
19:143:004:0	Am yspryt oedd yn gyving arno om mewn , ac ynof y brawychawdd vy-calon .
19:143:005:0	[ Er hyny] cof genyf y dyddiae gynt , mevyriaw ydd wyf yn dy oll weithredoedd , [ ys] astud ytwyf yn-gweithrededd dy ddwylaw .
19:143:006:0	Estennais vy-dwylaw arnat : vy enait [ ’sy mewn hiraeth] am danat mal y tir sychedic . Sélah .
19:143:007:0	Gwrando vi ar vrys , Arglwydd , can ys deffyciawð vy yspryt : na chudd dy wynep rhagof , rac vy-cyffelypy ir ei y ddescenant ir pwll .
19:143:008:0	Par ymy gahel clybot dy drugarawgrwydd y borae , can ys ynot yr ymddiriedaf : moes ym’ wybot y ffordd , y rhodiwyf ynthei , can ys arnat] y derchaf vy eneit .
19:143:009:0	Gwared vi Arglwydd , rac vy-gelynion : can ys wrthyt yr ymguddiaf .
19:143:010:0	Dysc ymy wneythy dy ewyllys , can ys vy-Dew ytwyt : tywyset vi dy yspryt daonus i dir yr vniondap .
19:143:011:0	Bywia vi , Arglwydd , er mwyn dy Enw , [ ac] er dy gyfiawnder dwc vy enait o gyvingdra .
19:143:012:0	Ac er dy drugaredd dyvertha vy-gelynion , a’ diva oll y orthrymant vy eneit : can ys dy was ytwyf .
