19:132:001:1	Psal . cxxxij .
19:132:002:1	Memento Domine Dauid .
19:132:001:0	ARglwydd , coffa Ddauid [ ef] a’ei oll vlinvyd .
19:132:002:0	Yr hwn a dyngawdd wrth yr Arglwydd , [ ac] addunawdd ir alluawc Ddew Iaco , [ gan ddywedyt] ,
19:132:003:0	Nyd af y mewn gwersyllt vy-tuy , ac nyd af i wely [ na] glwth .
19:132:004:0	Na goddef im llygait huno , nac im amranneu hepian .
19:132:005:0	Yd pan gaffwyf le ir Arglwydd , yn drigua i allluawc [ Ddew] Iaco .
19:132:006:0	Wele , ys clywsam y wrthaw yn Ephráthah , [ ac] ei cawsam ym meysydd y coet .
19:132:007:0	Yd-awn y mewn y’w Bebyll ac aðolwn rac bron lleithic ei draet .
19:132:008:0	Cyvot , Arglwyð , [ y ddyvot] ith ’orphwysfa , ti ac arch dy gadernit .
19:132:009:0	Ymwiscet dy Offeirieit o gyfiawnder , ac ymlawenáet dy Sainct .
19:132:010:0	Er mwyu Dauid dy was , na wrthddot wynep dy Enneiniawc .
19:132:011:0	Tyngawdd yr Arglwydd wirionedd wrth Ddauid , ac ny chilia y wrthaw , [ gan ddywedyt , O ffrwyth dy vru y gosodaf , ar dy eisteddfa .
19:132:012:0	A’s ceidw dy veibion vy-dygymbot , a’m testioliaeth y ddyscaf yddwynt , ei meibion hefyd y eisteddant ar dy eisteddva yd yn tragyvyth .
19:132:013:0	Can ys etholes yr Arglwyð Tsijón , ac a garawdd drigio ynthei , [ can ddywedyt] ,
19:132:014:0	Hon vydd vy-gorphwysfa yn tragyvyth : yma y trygaf can ys hoffeis yhi .
19:132:015:0	Hei lluniaeth a lwyr vendithiaf , a’i thylodion y ddiwallaf a bara .
19:132:016:0	Ac a ’wiscaf hei Offeiriait ac iechyt , a’hei Sainct a ymlawenánt yn ddirvawr .
19:132:017:0	Yno y gwnaf y gorn Dauid vlaguraw : can ys darpareis lucern im Enneiniawc .
19:132:018:0	Ei ’elynyon y wiscaf a chywilydd , ac arnaw ef y blodeua ei dalaith .
