19:19:001:1	Psalm . xix .
19:19:002:1	¶ Cœli enarrant .
19:19:001:0	Nefoedd y ddatcanat ’ogoniant Dew , a’r ffyrvavēt a vanaic waith ei ddwylaw .
19:19:002:0	Dydd y dydd a ddywait yr vn peth , a’ nos y nos a ðengys wybodaeth .
19:19:003:0	Nid [ oes] na iaith nac ymadrodd [ lle] ny chlywyt ei lleferyð .
19:19:004:0	I pop tir ydd aeth y tynniat hwy , a’ ei geiriae yd yn eithaweð byd : i’r haul y gosodawdd babyll ynthynt .
19:19:005:0	Yr hwn a ddaw allan mal [ gwr] priawt o ei estauell , [ ac] a ymlawenha val cawr y redec [ ei] yrfa .
19:19:006:0	O eithav y nefoedd [ ymae] ei vynediat allan , a’i gylchyn [ ys ydd] y eithawedd hwy , ac nid [ oes] a ymgudd rac ei wres .
19:19:007:0	Deddyf yr Arglwydd [ ys y] ddivagyl , yn troi yr eneit : testiolaeth yr Arglwydd [ ysy] ffyrf , ac yn rhoi doethinep ir ei seml .
19:19:008:0	Cynneddefae yr Arglwydd [ ynt] vnion ac yn llawenhau y galon : gorchymyn yr Arglwydd ys y pur , ac yn goleuo y llygait .
19:19:009:0	Ofn yr Arglwydd glan [ yw , ] ac a bery byth : barnae yr Arglwydd gwirionedd : cyfion ynt y gyd oll .
19:19:010:0	Mwy deisyfydic [ ynt] nag aur , ys , nac aur coeth lawer : melysach hefyd na mel , ac na dil mel .
19:19:011:0	Ac ys wrthwynt y dyscir dy was , ac o-ei cadw [ y mae] taliat lawer .
19:19:012:0	Pwy a ddyaill [ ei] gamweddeu ? glanha vi ywrth vy [ beieu] cuddiedic .
19:19:013:0	Cadw hefyt dy was ywrth pechatae ryvygus , na arglwyddiaethant arnaf : yno im perfeithir , ac im glanheir ywrth anwiredd lawer .
19:19:014:0	Bid ymadroddion vy=genae , a’ mefyrdawt vy calon wrth dy ewyllys yn dy olwc , Arglwydd , vy nerth , a’m prynwr .
