19:17:001:1	Psalm . xvij .
19:17:002:1	Exaudi Domine iustitiam .
19:17:001:0	CLyw Arglwydd [ y] gyfiownder , ystyria wrth vy llefein : a’ gwrando ar vy=gweddi , o wefusae ddiffuant .
19:17:002:0	Deuet vy=barn oy gar dy vron : edrychet dy lygait ar yr vnion .
19:17:003:0	Proveist a’ gyvwyeist vy=calon y nos : chwilieist vi , ac ny cheffeist ddim : [ can ys] rhoisym vy=bryd na wnelei vy=genae drosedd .
19:17:004:0	Tu ac at weithredeu dynion , can ’airiae dy wefusae , ydd ymgedweis i ywrth ffordd y [ dyn] craulon .
19:17:005:0	Cynnal vy=cerddet yn dy lwybrae , mal na lithro .
19:17:006:0	Mi alweis arnat , can ys gwrandewy vi Ddew : gestwng dyglust ataf , ac erglyw v’ymadrodd .
19:17:007:0	Dangos dy ryvedd drugareddae yr hwn wyt Iachawdur yr ei y ymddirietant [ ynot’] rac y sawl y godant yn erbyn dy ddeheulaw .
19:17:008:0	Cadw vi mal dy vap lygat : cudd vi y dan wascot dy adanedd .
19:17:009:0	Rac yr annuwiolion ys ydd im gorthrymu , [ rac vy]-gelynion a’m cylchynant er [ vy]-nieneidio .
19:17:010:0	Ymaent wedy eu cau yn ei braster ehun : [ ac] aei ge’nae y dywedent goec valchedd .
19:17:011:0	Wy a’m cylchynesont i yr owrhon [ yn] ein ol : gosodesont eu llygait y dynnu y lawr yd y ddaiar .
19:17:012:0	Yn gyffelip y leo a chwant ysclyfio , a’ megis cenae lleo yn llechy mewn dirgcloedd .
19:17:013:0	Cychwyn Arglwydd , achup rhacðo : bwrw e ir llawr : gwared vy eneit rac yr andewiol ath cleddyf .
19:17:014:0	Rac gwyr a’th law , Arglwydd , rac gwyr y byd , yr ei ’sydd ai rhan yn y bywyt yma , yr ei’n wyt yn llenwy ei boliae ath cuddiedic dresawr .
19:17:015:0	Y mae digon gan y plant hwy , ac a adant ei gweðill . ir ei bychein .
19:17:016:0	Minef edrychaf ar dy wynep , yn-cyfiawnder , [ a’] phan ddihunwyf , im digonir gan dy ddelw .
