19:95:001:1	Psalm . xcv .
19:95:002:1	Venite exultemus .
19:95:001:0	DEwch , canwn ir Arglwydd , ymlawenhawn yn-craic ein iechyt .
19:95:002:0	Deuwn o vlayn ei wynep a moliant : canwn yn llavar psalmeu yðaw
19:95:003:0	Can ys yr Arglwydd ysy Ddew mawr a’ Brenhin mawr ar yr oll ddewiae .
19:95:004:0	Ac yn y law ef [ y mae] dwfnleoedd y ddaiar , ac vchelderedd y mynyddedd ysydd yddaw :
19:95:005:0	Ac yðaw ydyw y mór : can ys ef ei gwnaeth , a’ ei ddwylaw a ffurfiawdd y sych-tir .
19:95:006:0	Deuwch , addolwn a’ gestyngwn [ a’] phenliniwn rac bron yr Arglwydd ein gweithydd .
19:95:007:0	Can ys ef yw’n Dew , a ninae yw popul ei borva , a’ deueit ei law : heddyw , a’s gwrandewch ar eileferydd ,
19:95:008:0	Na chaledwch eich calon , megis ym-Meribáh a’megis yn-dydd Massáh yn y diffeithwch .
19:95:009:0	Lle im temtent eich tadae , im provent , cyd gwelsent vy-gwaithret .
19:95:010:0	Deugain blynedd yr ymrysonais a’r genedlaeth [ hon , ] a ’dywedais , Popul yn cyfeiliorni yn-calon ytynt , can na wybuant vy ffyrdd .
19:95:011:0	Am hyny y tyngais yn vy llit , gan ddywedyt , Ys diau ny ddawant im gorphwysfa .
