19:69:001:1	Psalm . lxix .
19:69:002:1	¶ Saluum me fac Deus .
19:69:001:0	CAdw vi Ddew , can ys daeth y dyfredd yd at [ vy] eneit .
19:69:002:0	Ydd wyf yn-glŷn yn y tom dwfn lle nid [ oes] safiat : ys daethym y ðyfredd dyfnion , a’r ffrwd am gorchudiawdd .
19:69:003:0	Ydd wyf wedy blinaw yn llefain : vy mwnwg y sychawdd : vy-llygait a ballent , yn dysgwyl am vy-Dew .
19:69:004:0	Amlach no gwallt vy-pen yw’r ei ’n am casânt yn ddiachos : yr ei am diuethent , [ ac ynt] vy gelynion yn ’auoc , ysy yn gedyrn , yn y thelais yr hyn ny chymrais .
19:69:005:0	Dew , ti adwaenost vy ynvydrwydd , am camweddae nid ynt cuddiedic racot .
19:69:006:0	Na chywilyðier droso vi , yr ei syð yn dysgwyl wrthyt Arglwydd Ddew yr lluoedd : na wradwydder droso vi yr ei ath ceisiant , Dew [ yr] Israél .
19:69:007:0	Can ys er dy vwyn y dugeis anair : cywilydd a doawdd vy wynep .
19:69:008:0	Aethym yn estran im broder , ys yn allwat y blant vy mam .
19:69:009:0	Can ys gwynvyd dy duy am ysawdð , a’ chableu yr ei ath ceplynt , y syrthiawdd arnaf .
19:69:010:0	Wylais ac vmprytiawdd vy enait , a’ bu hyny yn gabl ymi .
19:69:011:0	A’ rhoddeis am danaf sach [ wisc] : ac aethym yddwynt yn ddiareb .
19:69:012:0	Yr ei y esteddent yn y porth , y sonient am danaf , a gwawd oeddwn ir diotwyr .
19:69:013:0	A’ mineu Arglwydd y wnaf vy-gweddi arnat yn amser cymeradwy , ’sef yn lliosowgrwydd dy drugaredd : â Ddew gwrando vi yn-gwirionedd dy iechyt .
19:69:014:0	Gwared vi allan o’r tom , val na suddwf : rhyddáer vi rhac vy-caseion , ac o’r dyfredd dyfnion .
19:69:015:0	Na voddet vi y llifðyfredd , ac na’m llynco yr eigiawn : ac na chaeet y pytew ei enae arnaf .
19:69:016:0	Clyw vi Arglwydd , can ys da yw dy drugaredd : tro araf yn ol lliaws dy dostoruriaetheu .
19:69:017:0	Ac na chudd dy wynep rac dy was , can bot trwbl arnaf : brysia [ a’] chlyw vi .
19:69:018:0	Dynesa ar vy eneit , [ a’] phryn ef : gwared vi o bleit vy-gelynion .
19:69:019:0	Ti adnabuost vy-gwarth , a’m cywilydd , am anglod : [ y mae] vy oll wrthnepwyr ger dy vron .
19:69:020:0	Cabledigeth a ddrylliawdd vy-calon , ac im tristawyt , ac edrycheis am y dosturiai [ wrthyf] , ac nid oedd nep : ac am ddiddanwyr , ac ny chefeis vn .
19:69:021:0	A’ rhoesant vystyl yn vy bwyt , ac yn vy sychet y rhoesant ymi vinegr y ei yfet .
19:69:022:0	Bit ei bort yn vagl ger ei bron , a’i llwyðiant ym drancwydd .
19:69:023:0	Tywyller ei llygait val na ’welant : a gwna y’w llwyni bop amser grynu .
19:69:024:0	Tywallt arnynt dy ddigllonedd , a’ llit dy soriant eu cymero .
19:69:025:0	Bit y cartref hwy yn ddiffaith , ac na bo nep a breswilio ei pebyll .
19:69:026:0	Can eu bot yn erlyd , yr hwn y draweist : ac yn datcan dolur yr ei a archolleist .
19:69:027:0	Dod enwiredd ar y enwireð hwy , ac na ddelont y mewn ith gyfiawnder .
19:69:028:0	Diléer hwy o lyver y bywyt , ac na eu yscrifener im=plith yr ei cyfion .
19:69:029:0	A mineu yn dlawt ac yn athrist , dy borth , Ddew , am derchaif .
19:69:030:0	Molaf Enw Dew a chaniat : ac ei mawrygaf a chlodvoredd .
19:69:031:0	Gwell vydd [ hyn] gan yr Arglwydd na bustach ieuanc ac yddo gyrn a’ charnae .
19:69:032:0	Y rei gestyngedic y welant [ hyn , a’r] ei y gaisiant Ddew , a lawenechant , a’ch calon y vydd byw .
19:69:033:0	Can ys yr Arglwydd a glyw y tlodion , ac ny thremyga ei garcharorion .
19:69:034:0	Molent ef nef a’ daiar , y moroedd ac oll y ymlusco ynthwynt .
19:69:035:0	Can ys Deo a ymwared Tsijon , ac y adeila ddinasydd Iudah , val y preswylio dynion yno , a’i mediannu .
19:69:036:0	A’ had hei weision ei ’tiuedda : a’r ei y garant ei Enw y dric ynthei .
