19:148:001:1	Psalm . cxlviij .
19:148:002:1	Laudate Dominum .
19:148:001:0	MOlwch yr Arglwydd o’r nefoedd : molwch ef yn yr vchel-leoedd .
19:148:002:0	Molwch ef , ei oll Angelion : molwch ef , ei oll luoedd .
19:148:003:0	Molwch ef yr haul ar lleuad : molwch ef y ser goleu .
19:148:004:0	Molwch ef , nefoedd y nefoedd , a’r dyfredd ’sy vchlaw yr nefoedd .
19:148:005:0	Molant [ wy] Enw yr Arglwydd : can ys gorchymynawdd ef , ac ei creawyt .
19:148:006:0	Ac ef a wnaeth yddynt sefyll byth ac yn tragyvyth : ef a wnaeth ordinât , rhwn nyd â drostaw .
19:148:007:0	Molwch yr Arglwydd o’r ddaiar , y dreiciae a’r oll ddyfndereu :
19:148:008:0	Tan a’ chenllysc , eiry a’ mugdarth , gwynt ystormus , y sy yn gwneuthyd ei ’air ef :
19:148:009:0	Mynyddedd ac oll vryniae , preniae ffrwythlawn ac oll Cedriwydd :
19:148:010:0	Bestviloedd ac oll yscryblieit ymluscieit ac ehediait pluoc :
19:148:011:0	Brenhineð y ðaiar ac oll populoed , tywysogion ac oll vairnieit byt : ieueinc a’ gweryfon , henion hefyt a’ phlant :
19:148:012:0	Molent wy Enw yr Arglwyð : can ys y Enw ef yn vnic ys y dderchafadwy , [ a] ei voliant vchlaw y ddaiar a’r nefoedd .
19:148:013:0	Canys ef y ðerchavawð gorn ei’ bopul yr hyn sy voliant yw holl Sainct ef , [ ’sef] y blant Israel , popul [ ys y] yn agos yddaw . Molwch yr Arglwydd .
