19:90:001:1	Psalm . xc .
19:90:002:1	Domine refugium .
19:90:001:0	ARglwydd , buost’ yn breswyl y-ni , o genedlaeth y genedlaeth .
19:90:002:0	Cyn gwneuthur y mynyðed [ cyn] yty ffurfiaw y ddaiar , a’r byt , ys er yn oes oesoedd [ ein] Dew ytwyt .
19:90:003:0	Ydd wyt yn dychwelyt dyn y ðinistr : dywedy hefyt , Dychwelwch , veibion Adda .
19:90:004:0	Can ys mil o vlyddynedd yn dy ’olwc [ ynt] val doe [ nei echdoe] gwedy yr el heibio , a’ [ mal] gwylfa liw nos .
19:90:005:0	Llifeiriaist drostynt , [ val] hun ytynt : y boreu y tyf ef mal y gwellt .
19:90:006:0	Y borae y blodena ac y tyf , eithr prydnawn y torir e y lawr ac y gwywa .
19:90:007:0	Can ys in divéir y gan dy soriant , a’ chan dy var in cynnyrvir .
19:90:008:0	Gosodeist ein camweddae rac dy vron , a’n dirgel bechotae yn-golauni dy wynep .
19:90:009:0	Can ys ein oll ddyddieu y ddarvuant yn dy ddicter : trauliesam ein blyddynedd megis lleferydd .
19:90:010:0	Dyddyae ein blyddyneð [ yw] decblwydd a’ thrugein , ac as byddant o gryfder , petwarugein-blwydd : ac nid yw ei nerth anid llafur a’ phoen : canys ebrwydd y deryw , ac ydd hedwn ymaith .
19:90:011:0	Pwy a edwyn nerth dy soriont ? can ys mal dy ofn y mae dy ddigoveint .
19:90:012:0	Dysc y ni velly gyfri ein dyddiae mal y ducom y ein calon ddoethinep .
19:90:013:0	Dymchwel ( Arglwydd yd pahyd ? ) ac ymheddycha ith weision .
19:90:014:0	Cyflawna ni y boreu ath drugareð : yno y’byðwn lawen a’ hyfryd ein oll ddyddiae .
19:90:015:0	Dyddana ni erwyð y dyddiae in cystuddieist , ac erwyð y blyddynedd y gwelsam ddrwc .
19:90:016:0	Gweler dy waith ith weision , ath ’ogoniant ar y plant hwy .
19:90:017:0	A’ bid prydverthwch yr Arglwydd ein Dew arnam , a’ threfna weithred ein dwylo arnam , ys trefna weithred ein dwylaw .
