19:5:001:1	Psalm . v .
19:5:002:1	¶ Verba mea auribus .
19:5:001:0	CLustymwrando am geiriae , Arglwydd : deall vy mevyrdawt .
19:5:002:0	Erglyw ar lef vy llefain , vy-Brenhin a’m Duw : can ys arnat’ y gweddiaf .
19:5:003:0	Y borae , Arglwydd , clyw vy llef : [ can ys] y borae y cyfeiriaf atat , ac y dysgwiliaf .
19:5:004:0	Can nad wyt Dduw a ewyllysa enwireð : ac ny thric anvad y gyd a thi .
19:5:005:0	Ny saif ynfydion yn dy’olwc : [ can ys] cas cenyt pawp oll y wnel enwiredd .
19:5:006:0	Ti ddestrywy y rei ddywedant gelwydd : y gwr gwaedlyt a’r dichellgar sydd ffiaidd gan yr Arglwydd .
19:5:007:0	A’ mieneu a ddeuaf ith tuy yn amleð dy drugaredd : [ ac] yn dy ofn yr addolaf tu ath Templ sanctaidd .
19:5:008:0	Arglwydd , tywys vi yn dy gyfiawnder , achos [ vy] gelynion : gwastatá vy ffordd rac v’wynep .
19:5:009:0	Can nad oes vniondap yn ei genae : oymewn , y maent yn llwgr oll : ei mwnwg [ ys y mal] bedd ogoret : ymlewydd a wnant a ei tauod .
19:5:010:0	Destrywia hwy , Dduw , cwympant ywrth ei cygcorae : bwrw ’n wy allan obleit llaweredd ei camweddae , can ys codesont ith erbyn .
19:5:011:0	A’ bit bawp a ymddirietant ynoti , lawenhau a’bot yn hyfryt yn dragywyth , a thoa di hwy : a’r ei a garant dy enw bid ei gorvoledd ynot’ .
19:5:012:0	Can ys ti Arglwydd a vendithi y cyfiawn : a charedigrwydd mal tarian y coroni ef .
