19:50:001:1	Psalm . l .
19:50:002:1	Deus Dominus .
19:50:001:0	DEw y Dewieu , [ ’s ef] yr Arglwydd a lavarawdd ac y alwodd y ddaiar o godiat haul yd ei vachlud .
19:50:002:0	O Tsijon berffeith hi thegwch y tywynnawdd Dew .
19:50:003:0	Eddaw ein Deo ac ny bydd dystaw : tán a ys o’i vlaen ef , a’ thempest ðirvawr a gyffroir o’i amgylch
19:50:004:0	Ef a alw y nefoedd o dducho : a’r ddaiar y varny ei bopul .
19:50:005:0	Cesclwch ymy vy Sainct ynghyt , yr ei y wnaethant ddyygymbot a mi , ac aberth .
19:50:006:0	A’r nefoedd a venagant ei gyfiawnder : can ys Dew ys y Varnwr y h’un . Sélah .
19:50:007:0	Clyw vy-popul , a’ mi a lavaraf : clyw Israel , a’ thestolaethaf yti : [ can ys] mi Dew , [ ys] dy Ddew di .
19:50:008:0	Nyd er dy aberthae ith argyoeddaf , n’ac er dy boeth-ebyrth [ yr ei nyd oeddynt] bob amser geyr vy-bron .
19:50:009:0	Ny chymeraf vn bustach oth tuy , [ na] gaifr oth gorlanne .
19:50:010:0	Canys mi biae oll vwystviloedd y coet , [ a’r] aniveilieit ar vil o vynydde .
19:50:011:0	Mi adwaen oll ehediait y mynyddedd , a bwystviledd y maes ys ydd ymy .
19:50:012:0	A’s bydd newyn arnaf , ny ddywedaf y ty : can ys y byd ys ydd ymi , a’ ei gyflawnder .
19:50:013:0	A vwyta vi gic tairw ? neu a yfa vi waet geifyr ?
19:50:014:0	Abertha y Ddew voliant , a’ thal i’r Goruchaf dy addunedae .
19:50:015:0	A’galw arnaf yn-dydd trallot : [ yno] yth waredaf , a’ thi am gogoneddy .
19:50:016:0	Ac wrth yr andewiol y dyvot Dew , Beth ’syð i ti a venegych ar vy cyneddfae , ac y cymerych vy-dygymbot yn dy enae ?
19:50:017:0	A’ thithae yn gas genyt ðiscipliaeth , ac a davleist vy=geiriae ith ol .
19:50:018:0	[ Can ys] pan weleist leidr , rhedyt gyd ac efo , ac a vyddyt gyfranoc a’r ei godinebus .
19:50:019:0	Dy eneu a roddyt y ddrugioni , ac ath tavot y commonyt ddichell .
19:50:020:0	Eisteðyt [ a’] dywedyt yn erbyn dy vrawt , [ ae] y sclandryt vap dy vam .
19:50:021:0	Y pethae hyn y wneythost , ac ysteweis , [ am hyny] ytybieist vy-bot yn gyffelyp y ti : [ eithr] ith argyhoeddaf , ac [ ei] gesotaf ger dy vron yn gyfwlch .
19:50:022:0	Dyellwch atolwc yr ei sy yn ebrgofi Dew , rac ymy eich dryllio , ac na bo nep [ a’ch] gwaredo .
19:50:023:0	Y nep a abertha voliant , am gogonedda vi : ac i hwn a ’osoto ei ffordd [ yn iawn] y dangosaf iachyt Dew .
