19:47:001:1	Psalm . xlvij .
19:47:002:1	¶ Omnes gentes plaudite .
19:47:001:0	YR oll populoedd curwch ’dwylo : cenwch yn llavar y Ddew a llef gorvoledd .
19:47:002:0	Can ys yr Arglwydd ’sy ’oruchel a’ therribl : Brenhin mawr ar yr oll ddaiar .
19:47:003:0	Ef a ddarestwngawdd y populoedd y danom , ar cenedloedd y dan ein traed .
19:47:004:0	Ef a ddetholes ein etifeddiaeth y-ni : [ sef] mawrygiant Iaco yr hwn y garawdd . Sélah .
19:47:005:0	Escennawdd Dew mewn gorvodaeth , ys yr Arglwyð , gyd a llef vtcorn .
19:47:006:0	Can-molwch Ddew , can-molwch : can-molwch ein Brenhin , can-molwch .
19:47:007:0	Can ys Dew yw Brenhin yr oll ddaiar , can-molwch [ ef] bawp ys y ’sy] yn deall .
19:47:008:0	Dew a deyrnasa ar y cenedloedd : Dew a eistedd ar ei santeiddiol eisteddfa .
19:47:009:0	Tywysogion y populoedd y ymglaclasant y gyd a phopul Dew Abraham : can ys y Ddew y mae tarianae y ddaiar , darchavedic yw ef yn ddirvawr .
