19:57:001:1	Psalm . lvij .
19:57:002:1	Miserere mei Deus , miserere .
19:57:001:0	TRugará wrthyf Ddew , trugará wrthyf : can ys ymddiried vy enait ynot : ac yn-gwascawt dy adanedd y ymddiriedaf , yd yn yd el y coddion hynn [ heibio . ]
19:57:002:0	Galwaf ar Ddew ’oruchaf , [ ys] ar Ddew y gwpla [ ei addewit] y-my .
19:57:003:0	Ef a ddanvon o’r nefoedd , ac am gwared rac gwarthrudd yr hwn am llyncei . Sélah , e ddenvyn Dew ei drugaredd a’ ei wirionedd .
19:57:004:0	Vy enait [ ys ydd] ym-plith llewod : ydd wyf yn gorweð ym-plith plant dynion , ys ydd yn boethion : ei dannedd [ sydd] yn waewffyn ac yn saethae , a’ ei tavot yn gleddyf awchlym .
19:57:005:0	Ymddercha , Ddew , uch y nefoedd , [ a’ bit] dy ’ogoniant ar yr oll ddaiar .
19:57:006:0	Rwyt a paratasant im traet : crymmwyt vy eneit : claddiesont bytew o’m blaen , [ a’] dygwydesont yn ei genol [ y hunain . ] Sélah .
19:57:007:0	Parat yw vy-calon , Ddeo , parawt yw vy-calon : canaf a chan-molaf .
19:57:008:0	Dyffro vy-tavot , dyffro nabel a’ thelyn : [ mi] ddyffroaf yn voreu .
19:57:009:0	Clodvoraf dydy Arglwydd ymysc y populoeð , a’ chanaf ymmysc y cenedloedd .
19:57:010:0	Can ys mawr dy drugaredd yd y nefoedd : [ a’th] ’wirionedd yd yr wybrae .
19:57:011:0	Ymddercha , Ddew , uch y nefoedd [ a’bit] dy ’ogoniant ar yr oll ddaiar .
