19:81:001:1	Psalm . lxxxj .
19:81:002:1	Exultate Deo .
19:81:001:0	CAnwch yn yn llawen y Ddew ein cedernit : cenwch yn llavar y Ddew Iaco .
19:81:002:0	Cymrwch y cathyl a’ moeswch y tympan , y delyn vwyn y gyda’r nabel .
19:81:003:0	Cenwch yr vtcorn yn y lloer newydd , [ sef] yn yr amser nod ar ein dydd gwyl .
19:81:004:0	Can ys cynneddf yw hyn y Israel , [ a’] Chyfraith gan Ddew Iaco .
19:81:005:0	Ef a esodes hyn yn Ioseph yn testiolaeth , pan ðaeth ef allan o dir yr Aipht , [ lle] clywais iaith ni dyellais .
19:81:006:0	Tynnais ei yscwydd ywrth y baich , a’ ei ðwylo a ymadawsant a’ r crochaneu .
19:81:007:0	Yn dy gyfingder [ im] galweist ac ith wrandeweis . [ ac] ath atebeis yn- dirgelwch ydaran : [ mi] ath proveis wrth ddyfreð Meribáh . Sélah .
19:81:008:0	Clyw , vy-popul , a’thestolaethaf wrthyt : Israel , a’s gwraudewy arnaf .
19:81:009:0	Na bo Dew estran ynot’ , ac na addola Ddew dieithyr .
19:81:010:0	Can ys mi yw yr Arglwydd dy Ddew , yr hwn ath ðuc allan o dir yr Aipht , agor dy enae yn llytan , a’ [ mi] ei llanwaf .
19:81:011:0	Eithyr vy-popul ny chlyw vy llef , ac Israel ny vynn vyvi .
19:81:012:0	Yno y rhoddeis i hwynt y gyndynrwydd ei calon , [ a’] cherddesont wrth ei cygor y-unain .
19:81:013:0	Och na wrandawei vy-popul arnaf , [ a’] rhodiesei yr Israel yn vy ffyrdd .
19:81:014:0	Yr awr y gestyngeswn ei gelynion , ac y troeswn vy llaw yn erbyn y herbynwyr .
19:81:015:0	Dygaseion yr Arglwydd a ddarostyngesit yddaw , a’ei h’amser vysei yn tragywydd .
19:81:016:0	A’ [ Dew] y bwydesei wynt a braster gwenith , ac a mel o’r graic y dywalleswn dydy .
